,acc_x_median,acc_y_median,acc_z_median,gyro_x_median,gyro_y_median,gyro_z_median,orin_x_median,orin_y_median,orin_z_median,orin_w_median,eul_roll_median,eul_pitch_median,eul_yaw_median,acc_x_mad,acc_y_mad,acc_z_mad,gyro_x_mad,gyro_y_mad,gyro_z_mad,orin_x_mad,orin_y_mad,orin_z_mad,orin_w_mad,eul_roll_mad,eul_pitch_mad,eul_yaw_mad,gyro_mag,acc_mag,orin_mag,eul_mag,label
0,0.7731280219209549,1.6437428910551228,1.4033154367224392,0.3629057344297606,1.1755556626577337,-0.4577752974901594,-0.05180581054827872,-1.6857493431922217,1.7468449426468735,-1.1610969040348271,1.497040953378689,-0.7901759647502582,-1.7240406425431207,-0.1289802809216153,0.09457440662377094,-0.404700611174111,1.4431847771981159,1.5680850073952706,0.6413221311806452,-0.2290562617108021,0.947784884227479,-0.3355712217768144,-0.3837382778008945,-0.2179425445522792,0.2856181577807214,-0.4190606338437525,1.4002611851526252,-1.7157292057633795,-1.7057912164426927,-1.293885033998603,Forward
1,-0.8788536296485819,-1.5415309552307326,-1.527061439215613,3.4082685408333457,0.8852950052113795,-3.1281311995160896,0.8525049062056896,0.8694632095698541,-0.7470939127052424,1.0040992479120188,-1.5184630346027814,0.8251215610698285,0.7723369030725696,0.7358529673765127,0.8948705412023527,0.5763488983854987,-0.2884062913844644,-0.5334700245148046,0.8511363332933952,1.2920380231289834,1.2316540187745917,1.5495403252959814,2.340148832820318,1.4284162292558775,1.3932470571558684,1.9294821208683584,0.35481810175243145,0.011798349290267688,0.08880071738738415,0.94828530988215,Right
2,0.574891667255958,-0.15885088938192274,-0.14078010348437714,0.1725705590295365,1.3206859913809104,-0.902834614494481,-0.8152334218669781,0.6625968596338728,-0.6413360250286899,0.4681835230660655,-0.20452240554938148,-0.5022429852240049,0.6352491850387563,-1.1831514730278057,-0.6263212624868092,-0.6816011169391297,-0.5668514110467155,-0.4036541918356007,-0.3468007729807071,-0.17316085454579053,-0.35387910457877597,-0.2677226509028868,-0.20535568461426384,-0.1404606187848671,-0.5552069980958649,-0.17230947978848404,-0.5412533367663249,0.7633245816300561,0.5742052232974416,0.5794249285938846,Right
4,0.11233265468686464,0.005011738040191886,0.05082669940457985,-0.20809979177091165,-0.13061729585085927,-0.2034556877734042,-1.0676458144431549,0.6252646530991341,-0.682826004626766,0.5229445474793872,0.0287528119770031,-0.07058467317824435,0.6709337640568883,-0.9874266996858804,-0.6628378307648048,-0.02186173498863397,-0.6866479140926172,-0.5948887285808767,-0.06353914644277862,-0.2244619679685016,-0.6738690487973439,-0.327116708943494,-0.27516746262579417,-0.32164856527157565,-0.3724800988345765,-0.33029305202134485,-0.6511571448023231,-0.636254239880197,1.1390411838337982,0.6081214172887499,Right
5,0.3766508015805009,0.08183545449352979,0.0677345397992485,-0.17637726253754096,-0.20318246021244776,-0.5531451511339426,-1.24262704588329,0.6372023355808977,-0.6879989545840421,0.5262190128798193,0.10300073286578318,-0.24165723712409706,0.678454402420737,-0.9521577180303546,-0.3381610185220529,-0.2260971051805518,-0.4686073007644726,-0.3905726902077705,0.4558369491222356,-0.195157280346878,-0.5348280178671758,-0.3037389266005999,-0.2662718209016577,-0.3038639036970944,-0.2730216246393233,-0.3295274182526537,-0.3094948066876973,0.005093214387448908,0.1488687966166641,0.6145635936784578,Right
6,0.3656371695423945,0.04597739489571997,0.095906579665046,0.2042930882629072,-0.02176954930847653,0.30518353166010626,-1.2116241366735123,0.6313813992678664,-0.6947117090946515,0.5379212007043167,0.08964433359228098,-0.13522577616091128,0.6833359362564755,-0.944296198890979,-0.4409226806182183,-0.31748759261005943,-0.7442529816671205,-0.4620496855811714,-0.1787939962990471,-0.21428183559058725,-0.5181310011077146,-0.34521815234301506,-0.3050921078275465,-0.3350019753975335,-0.30207856666343763,-0.3633527425380764,-0.6477115945567457,0.11551767186129312,0.8088287790636552,0.6295349713966875,Right
7,0.21145534302982325,0.102318282921295,0.033930400197890405,0.426350792896502,0.01451303287231771,-0.2988255414171874,-1.1915052275054636,0.6381198475062078,-0.7025243240004996,0.5594467847301087,0.05660645346020929,-0.09730708810976016,0.6918523103778628,-1.05828171474187,-0.7430036431510711,-0.7761238063346264,-0.8627166168841526,-0.5572274949103747,0.077945185542179,-0.19248641330294955,-0.6302551249796443,-0.3408165697977598,-0.2712086547258656,-0.3069158655040024,-0.32059324111054704,-0.34958773778774205,-0.6926209859342876,0.3753806553120691,0.9450758703784976,0.6487372894683651,Right
8,0.4427325938091402,-0.04619008908952958,-0.06188454243456859,-0.3984349671711357,-0.4934431176588017,0.050863921943351036,-0.9189739257612408,0.6356731490387149,-0.6493722181132419,0.4630379345796726,-0.08385692274612562,-0.3280879932369909,0.6410131188547525,-1.1070922067204652,-0.6080641711959601,-0.2855278251236046,-0.7530027471729644,-0.3433372079315563,0.21238404882993986,-0.2968201279337065,-0.5047747661878154,-0.2945480006314207,-0.3208344202248615,-0.3833483453061672,-0.35596990987986343,-0.3184743039080948,-0.4659905545890921,-0.5995485926020021,0.9114264640721416,0.5760620226238146,Right
9,0.4207053297329267,0.20986099807659148,0.07337818072279341,0.6801310267634674,-0.8562689394667442,0.11444382437253985,-1.1202644999595912,0.6417898952074472,-0.6727000767912614,0.4976690487444334,0.050778065398385384,-0.35983744052866434,0.6635993201842869,-1.2463042834996323,-0.6721768758591292,-0.33508510389381363,-0.6488574409121146,-0.3190985574867747,0.28297360689859496,-0.2374438337358715,-0.4210631879224192,-0.32993650929515833,-0.3114090074437881,-0.3440038445832693,-0.2982759755512424,-0.3711558109658041,-0.4234080712709424,-0.4942746547441816,0.8866065679022745,0.5974771961440111,Right
10,-3.533037678647424,-1.9051247575521504,-1.8201037432846128,0.8387436729303208,0.3773388546802601,-0.9982044681382642,4.135337506205132,-0.2728892747045919,-0.036616552278270216,-0.2961472519374539,-1.8690743361594224,3.496736045387952,-0.031585337289662174,3.2215318044941337,2.0402994381641193,2.1432779598509057,0.002999894009946742,-0.5977315258915156,0.9663007346938458,2.755636010824644,-0.3122269247294497,4.1171172696241864,3.1616174992197696,2.6842541597465512,3.3919068148775806,3.671680349505262,-0.2141106494771089,1.1416120953369513,-0.013692646582226716,-0.459012221772856,Backward
11,-0.6585900109073711,0.12791919648615455,0.20861782150419445,-0.3032673794710237,-0.9651166860091268,-0.012715980485837771,0.9221980253540234,-0.2526839574423039,0.10666821147384406,-0.8695007755771108,0.19495112135645384,0.5239534335460727,-0.15939895057683898,-0.5055105159147736,-0.7052410000714022,-0.3466744262930849,-0.8840113402472523,-0.7556870894257295,-1.1597718891335094,-0.3863167498907532,-0.7396846737332581,-0.4701942056868785,-0.425695347833264,-0.3815836137110752,-0.7431255755001844,-0.3888804330218359,-1.0677978099377177,0.7153654505363292,-0.01987670169524541,-0.8253003625919911,Backward
12,-0.6365627468311582,0.08696402751000491,0.3325932628144692,-1.0328855518385494,-0.34831278893562473,0.4959232389476727,0.9516025849073249,-0.26278661607344783,0.11613422307220575,-0.877468385766922,0.18432653646079844,0.5387144491941075,-0.16882120137520662,-0.915744668362958,-0.6508659446763613,-0.3523765836594765,-0.9344171516273484,-0.6125433302326244,-1.1310738417186996,-0.382811289671804,-0.8249952016720324,-0.44979339234181337,-0.4259099588561567,-0.3881350137015611,-0.780809729121162,-0.3785718627810005,-1.0368084674894955,2.4737647915770604,0.14641878728111424,-0.8370923278947763,Backward
13,-0.5594718335748726,0.22522574136726,0.19170998110952325,0.3629057344297606,-1.1465295969130982,0.4323433365184839,1.0662270888433156,-0.31419736624900657,0.15740062449157766,-0.9191162115040395,0.16176578533466893,0.5772733001101378,-0.21093596667149248,-0.8123977900487409,-0.6796293277731109,-0.727318111979369,-0.29168082627741976,-0.5555960417966814,-1.0025607017022606,-0.350462636721047,-0.9133253696680378,-0.3333921451870328,-0.3853918853820513,-0.3579226537917521,-0.7568095972750261,-0.29133318954069976,-0.7171323904479046,0.36173561018534295,0.4483647594511823,-0.8928319292121086,Backward
15,-0.5154173054224466,0.19961433992302202,0.2424335022935343,-1.06460808107192,-0.20318246021244776,0.2733935804455119,0.9175552001613958,-0.21872097502673585,0.07904729115473907,-0.8315951960119179,0.15572009385642613,0.5189044778001322,-0.13035746718989555,-0.5153208618506607,-0.2605376633758342,-0.1828343313997971,-0.6704351072882663,-0.6095617239738257,-0.8398003445863029,-0.3628373065749891,-0.695893791582002,-0.3776251793018751,-0.3803796535641728,-0.3479959023459105,-0.7574670448765219,-0.2919809492983829,-0.8044109188421346,1.0470666650718687,0.839997142949164,-0.7809898087165316,Backward
16,-0.36123322340464503,0.1330372816232536,0.12972226045438587,0.01395791286268311,-0.8199863572859499,0.01907397072875663,0.8200051298573052,-0.181689592074066,0.05395424669485373,-0.8049163549624927,0.18381432126495312,0.4028946895881321,-0.10378751328894004,-0.474533772085539,-0.5888710233501696,-0.25323487934925304,-0.6460171143777275,-0.5717857464498248,-0.974024794935177,-0.39020825789105656,-0.496500859115835,-0.3486482336248616,-0.3723340214743994,-0.3620630613278429,-0.6821729388103739,-0.2377830841114631,-0.8664009266774664,-0.667789825197864,-0.3173498868784705,-0.7447064607940503,Backward
17,-0.2070468858816149,0.03574122462152658,0.2255256618988657,-0.6522152010381012,-0.09433471367006503,0.08265387315794544,0.7890022206475279,-0.15874176648858387,0.03535759076618668,-0.779640856227539,0.17183935085297702,0.3149051807460307,-0.08497863150792193,-0.06782709257102733,-0.1610092150848468,-0.3831515039282638,-0.5351263796561803,-0.785195489604894,-0.8514260843803001,-0.3639067472942513,-0.8789343499150158,-0.3984516800104097,-0.4014619369722664,-0.3686440428655135,-0.7709942077667025,-0.3419132027650134,-0.8498687846165092,2.8984811008069986,1.3511772919717309,-0.7144471862376448,Backward
