timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
4920398,-45,-2,28,-8,-5,1,11,-3
4920398,20,1,5,-7,-4,-3,-7,-14
4929392,18,3,-17,-2,-4,0,2,17
4929392,-35,3,-2,10,0,0,-18,17
4944448,14,3,-9,-11,-3,2,3,5
4944448,-10,-14,4,8,0,1,21,19
4945413,-8,8,7,-5,-5,-2,21,-33
4945413,0,-2,-3,-4,3,-3,-4,-2
4958204,13,-4,-14,-1,-2,2,-13,5
4958204,15,-12,-7,-21,-2,0,5,21
4966218,-12,2,0,14,-3,-4,-21,-12
4966218,-10,-1,0,3,-2,-2,9,10
4989213,-7,12,-4,-5,-7,-7,-9,-19
4989213,0,16,-5,2,4,1,8,21
4990212,-22,-23,-2,-11,-7,-1,-19,10
4990212,10,-8,3,2,-6,-3,5,2
5004512,-16,2,-3,-3,0,-2,-35,-19
5004512,0,10,-32,-4,3,1,36,2
5005213,0,2,12,4,-3,-3,6,-17
5005213,-9,-8,-7,-3,-2,4,7,-14
5018214,34,-16,-8,-3,-4,-4,-2,26
5018214,-10,25,13,9,3,-1,2,-24
5026426,-4,4,4,4,9,2,11,23
5026426,-41,-32,-11,-10,-10,-6,-10,-32
5040426,2,1,-9,0,2,3,33,11
5040426,4,12,2,-2,-4,-1,-15,-16
5049697,-6,0,-5,2,0,-1,16,7
5049697,-12,-1,15,3,1,-2,-25,12
5064471,13,-6,16,-6,0,2,31,-6
5064471,-30,-10,3,-2,-5,-2,-11,0
5065441,35,-4,-33,-19,-4,-3,-22,-10
5065441,6,11,4,-1,0,1,13,17
5078780,-1,6,-1,0,-5,-8,-37,-1
5078780,-13,-25,16,7,3,5,16,37
5086484,32,2,34,7,3,-2,-23,-42
5086484,3,8,-2,1,1,1,13,15
5100728,-15,-6,-6,-1,-2,-4,-27,-3
5100728,32,20,3,-4,-7,-4,-47,-1
5109779,-18,-2,-6,-4,-6,-1,16,18
5109779,13,-6,-6,0,0,-2,31,-7
5132836,-49,-18,1,0,0,0,2,0
5132836,7,-4,1,1,-1,-6,-20,-24
5133446,-11,4,-6,-2,-1,4,-3,-3
5133446,12,3,-14,-3,-1,0,21,12
5138446,16,1,18,0,0,1,29,9
5138446,0,-2,-10,-8,-6,-4,-2,-6
5146739,-17,-5,-10,0,-2,-5,-23,7
5146739,-1,-5,5,0,-1,-4,-23,-27
5160756,0,6,-2,6,1,3,8,0
5160756,13,-2,47,1,-4,-3,-10,2
5169981,1,3,-74,-10,0,1,-2,5
5169981,6,-3,9,0,-5,-3,-4,-8
5184951,2,-3,-10,0,1,-1,8,-8
5184951,-5,4,13,8,6,4,10,-13
5185756,-10,-9,18,0,-6,-6,-16,-4
5185756,0,6,-3,-2,1,0,10,12
5198757,2,-6,-19,-5,-5,-2,-11,-3
5198757,-11,2,-1,0,1,-2,5,-4
5206758,-1,-12,14,0,1,0,3,9
5206758,-3,15,-14,3,-2,0,-5,-9
5220872,17,-5,-14,-11,-5,-6,-6,-15
5220872,-5,-9,-18,-8,3,0,16,14
5229758,-1,7,13,5,1,0,2,-3
5229758,5,1,3,1,-9,-3,-7,0
5244746,-6,-7,2,1,11,4,0,4
5244746,-7,-9,-13,-5,-8,-3,0,-12
5245518,3,1,-1,-4,-7,1,30,14
5245518,3,-5,16,-11,2,-1,-3,1
5258519,2,13,-11,8,-4,-1,-9,7
5258519,-3,-3,-8,-3,2,-2,-14,0
5265995,3,3,14,3,5,4,-2,-10
5265995,-7,4,2,-1,-1,-1,-1,22
5279991,1,-9,2,11,3,-1,-2,-13
5279991,-7,-4,-13,-14,-5,-1,4,1
5289254,4,-3,8,13,1,-5,-14,-9
5289254,1,5,-7,4,1,1,-4,-14
5304260,-3,6,8,-1,-4,-2,3,12
5304260,-4,0,-6,-1,4,1,-2,-1
5304991,5,-7,2,-8,-3,-5,-2,10
5304991,16,-19,-10,-5,-2,1,1,-12
5318232,-22,-3,0,-6,-3,-3,-4,0
5318232,-4,17,-4,3,-5,-1,6,-4
5325206,1,-11,1,-2,-1,-2,-4,9
5325206,-2,3,6,5,2,-3,-9,-6
5340212,12,-1,-6,-3,-4,-3,-6,-3
5340212,-1,-5,-6,2,0,0,24,-2
5349843,-1,4,1,1,2,1,18,0
5349843,-10,-8,-1,-5,0,1,-9,4
5364460,1,-3,-7,-6,-4,-3,3,-8
5364460,-4,-7,-3,4,0,-1,-8,0
5365467,2,12,24,1,5,0,-7,-9
5365467,-2,-8,-15,0,-3,-2,-3,-4
5378234,-2,6,20,2,-3,-2,-3,2
5378234,0,-6,-6,4,-2,1,-4,-4
5385521,0,5,-16,-20,-9,-4,1,-3
5385521,-3,0,15,13,6,-4,-4,-5
5400521,-2,0,-4,5,0,0,-17,1
5400521,1,1,-1,-5,-5,-5,-2,-2
5409537,-4,3,-3,-4,-2,0,4,-3
5409537,-4,-7,-4,-7,-2,-1,2,1
5424538,3,-7,-6,-3,-2,-1,-6,-2
5424538,-3,7,2,0,-1,0,-3,-2
5425236,-3,-3,-2,-1,0,-5,-23,-11
5425236,-4,-9,-6,-4,-2,-2,7,-5
5438537,12,-6,-1,-6,-2,-1,28,-2
5438537,-4,2,-2,-1,1,0,-6,-8
5445761,-5,2,-9,3,-1,1,1,4
5445761,5,14,3,-1,-6,-3,-20,-1
5460271,-3,-3,-1,1,3,0,15,1
5460271,-4,-5,-2,-1,-2,-1,-4,0
5469271,6,-5,9,12,-2,-1,5,15
5469271,-6,-1,-1,-12,3,-1,-6,-3
5484278,-1,-1,9,-8,-5,-2,-5,2
5484278,1,-5,-37,-33,-5,2,-1,-3
5485274,-3,-3,12,31,4,0,0,-4
5485274,0,1,0,3,-2,1,1,1
5498534,-5,4,-3,-7,-3,-1,21,5
5498534,1,-1,7,2,1,-3,-7,-1
5505497,-5,-10,-8,-16,-7,-1,-4,-4
5505497,-2,12,-4,-3,0,-1,6,2
5520558,9,-14,4,6,7,-1,-33,-8
5520558,-7,12,-9,2,-3,-1,18,1
5536574,-4,-9,-10,-8,-4,-3,-1,-9
5536574,3,3,8,0,-2,-3,-32,-1
5544868,-14,6,-1,-6,-4,-1,37,-28
5544868,11,-10,10,7,1,2,2,9
5545564,-3,2,-4,-6,-4,-1,-3,10
5545564,2,-3,-9,-3,-1,-2,4,-3
5558597,-2,-1,2,0,-1,-4,-16,-11
5558597,1,20,6,4,3,0,-3,11
5565074,-2,-31,-4,-1,-1,-1,15,-3
5565074,-11,-21,-8,-6,-5,-4,-3,1
5581074,2,-5,0,-3,-1,0,-6,13
5581074,0,6,13,10,1,-2,-7,-9
5590073,5,12,8,-3,0,0,1,2
5590073,0,2,-5,-1,0,1,8,3
5612078,-5,1,-7,-2,-2,-1,-14,-1
5612078,-6,-9,5,3,0,-2,3,-3
5613077,0,-5,-9,-13,-7,-4,-10,-3
5613077,4,-3,1,3,2,0,27,2
5618082,-3,2,-2,2,0,0,-6,-1
5618082,-5,-5,-1,-3,0,-2,-6,-4
5625363,-2,4,-4,0,3,-1,-16,3
5625363,-6,-4,-1,0,-2,1,-6,-2
5640362,10,2,-8,-4,-3,-1,4,-9
5640362,-1,-10,2,1,-1,-1,-7,-1
5649585,1,3,-1,7,0,0,5,-5
5649585,0,26,17,-3,-5,-4,-1,-4
5663164,-9,-17,-14,-3,-2,-1,-8,3
5663164,9,-2,-4,0,0,0,9,4
5671170,-4,-13,-1,-1,2,-1,-4,-15
5671170,-18,-2,-9,1,0,-1,6,3
