,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
2101,18,6,3,115,-1,-2,-23,-3
2102,-10,4,29,-47,6,-3,-25,-12
2103,1,-11,-30,-17,-9,-2,36,1
2104,16,8,20,-1,-1,-2,4,15
2105,-41,-5,-38,-44,-1,3,11,2
2106,7,3,14,61,-3,-2,3,7
2107,-6,-16,-8,-20,-1,-2,-21,-20
2108,-9,-5,3,-15,1,-1,5,-6
2109,9,12,-18,10,-5,-3,-1,-3
2110,-8,-6,43,52,6,2,1,2
2111,-9,-3,-10,62,-2,-2,-2,-4
2112,-7,-6,13,-64,0,2,6,1
2113,10,5,-47,-5,-7,-3,-13,-6
2114,4,18,67,-21,2,0,5,6
2115,3,-29,19,103,0,-1,-5,1
2116,-20,-20,-11,-87,0,-4,-6,-15
2117,14,5,4,1,-3,-2,-15,12
2118,-2,-6,-3,8,3,3,4,19
2119,11,29,-7,-7,-7,2,38,-17
2120,0,5,-4,54,0,-1,2,-2
2121,-37,-15,2,-82,-1,-3,-6,-6
2122,-5,26,-14,41,-4,-5,-8,0
2123,-17,-33,-4,-60,1,-1,-8,0
2124,-6,-14,-11,2,-7,-1,15,-3
2125,41,14,0,9,-1,-1,-11,2
2126,-12,-20,-11,-5,0,-2,0,-1
2127,-7,23,3,-10,-2,0,-9,4
2128,5,4,14,6,4,-1,-2,2
2129,13,-16,7,-2,-2,0,6,1
2130,7,12,-18,5,-3,-2,0,-7
2131,13,27,15,-6,1,-2,-4,-2
2132,-18,-37,-45,7,-4,-2,1,6
2133,-4,-15,16,3,-4,-1,5,-3
2134,-9,0,-4,6,-2,-2,-3,-3
2135,-3,-15,-13,-17,-2,-1,-12,1
2136,-3,5,1,-8,-2,-1,-1,1
2137,4,-1,22,11,2,0,-3,-5
2138,18,-13,-11,-9,-2,-3,-1,-21
2139,-46,10,10,-3,-1,0,0,-10
2140,-5,15,7,-3,0,-3,-14,2
2141,-6,-4,4,9,1,-1,20,24
2142,-5,-11,-28,-1,-2,-3,-7,-4
2143,13,9,3,-6,-1,-3,-13,-29
2144,3,1,-6,2,-2,-2,5,-4
2145,-11,-12,-10,-4,-5,-6,-31,-15
2146,-10,-3,-4,0,0,-1,-1,6
2147,-9,0,8,-6,-2,-3,-22,4
2148,32,3,3,-4,3,2,27,5
2149,-43,0,-26,4,0,0,1,-4
2150,-1,-8,-4,-4,-4,0,-5,3
2151,13,0,4,-5,-4,-2,-11,7
2152,-3,7,16,6,4,0,-8,-1
2153,1,-5,-12,-1,-2,-3,0,-5
2154,7,-3,-3,3,-1,-3,-13,-1
2155,1,-1,-11,-4,0,-1,13,11
2156,-1,4,7,-2,1,0,7,-3
2157,2,-3,-6,-4,-4,-1,1,-5
2158,-11,-2,2,-3,-2,-1,-3,3
2159,22,1,-7,0,0,1,-6,9
2160,-8,-5,-12,-6,-5,-2,-14,-6
2161,4,15,14,6,2,1,8,0
2162,4,5,4,0,-2,-1,0,-5
2163,7,-10,-31,-8,-2,3,35,17
2164,-17,-23,-6,-1,-3,-3,-22,-12
2165,0,9,7,1,1,-1,-9,-10
2166,12,1,-1,-4,-2,0,-3,14
2167,-14,5,1,0,2,-1,6,-17
2168,0,-5,0,-3,-3,0,-6,15
2169,8,-7,-3,2,-1,-2,-3,-16
2170,4,2,4,-2,-2,-1,5,1
2171,-6,-2,5,-1,-2,-2,-11,-4
2172,32,5,-2,-3,-2,-3,-16,-16
2173,-13,-7,3,0,-1,0,5,2
2174,-10,14,5,4,2,1,4,10
2175,5,-20,-13,-1,0,-2,-2,-4
2176,6,10,-1,-1,-1,0,-7,14
2177,-4,-7,-1,-6,-4,-3,-11,-13
2178,1,-12,-26,-6,-3,-5,-10,6
2179,5,9,16,0,0,0,4,1
2180,-16,-10,-4,1,0,-1,9,23
2181,12,-7,-3,-4,-4,1,1,-20
2182,-19,9,7,2,0,0,7,-11
2183,-5,2,3,-1,-3,-4,-12,-8
2184,-2,-3,4,-1,3,2,-11,-3
2185,13,3,2,0,0,-2,16,17
2186,2,-10,-5,-3,1,-3,1,-8
2187,4,5,3,1,0,0,0,-1
2188,-15,6,6,-4,-3,-2,-19,-10
2189,0,-13,-9,-4,-5,-2,-6,11
2190,7,0,1,2,1,3,65,2
2191,-16,2,6,-4,-2,-2,-8,-2
2192,3,-9,-5,1,0,-1,16,-3
2193,-2,4,-1,-1,-1,-4,-20,4
2194,4,-6,0,1,-1,-2,-12,-1
2195,-18,4,15,0,-4,-3,-13,-6
2196,16,7,0,1,1,3,15,5
2197,4,14,-15,3,2,1,1,-3
2198,-14,-16,25,-4,-5,-3,-3,0
2199,27,6,-17,-4,-1,-2,-9,4
2200,-27,-11,5,-2,-4,-5,-21,-13
2201,39,2,1,-2,1,1,14,10
2202,-71,15,20,3,0,-2,-12,-12
2203,6,-15,-2,-2,-1,1,6,6
2204,-4,4,1,-2,-1,-2,10,-1
2205,3,6,1,2,-2,-2,-14,-14
2206,25,-2,-2,0,-1,0,-3,-5
2207,-4,5,3,0,-1,-1,-1,-11
