timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
10216240,-12,8,-1,21,2,-2,-8,-2
10216240,6,-23,-7,-5,2,-1,8,-7
10224909,-1,-10,-1,7,-4,-5,-25,4
10224909,-16,13,4,-2,1,2,15,3
10230910,14,-4,-3,2,1,1,-15,-5
10230910,0,5,-1,-5,-1,0,10,0
10239910,-11,1,-6,-1,-3,-4,-21,-4
10239910,12,-10,-1,-3,-3,-4,-9,-5
10254425,-23,-5,-9,10,4,2,4,14
10254425,5,15,17,1,-1,0,1,-10
10262422,-4,11,5,4,3,2,-2,-1
10262422,3,-7,-9,-5,-3,2,29,0
10276438,-8,-17,-12,-3,-3,-5,-4,-2
10276438,7,7,18,6,9,5,41,6
10285432,11,8,-19,8,-3,-4,-9,0
10285432,-7,-7,2,-3,0,-3,-7,-5
10291773,10,-17,-6,-3,-8,-4,-7,-5
10291773,-17,0,1,-2,-1,-2,-23,6
10300433,20,2,10,-6,2,2,25,-6
10300433,-20,7,-4,-1,-3,-2,2,4
10313434,-17,-2,1,-11,-4,-3,-12,-9
10313434,-5,-1,-9,1,-3,-3,-1,-3
10322434,7,-9,-9,-8,0,4,20,4
10322434,16,13,3,5,-1,-2,12,0
10336723,-1,-1,7,-2,-4,-1,6,7
10336723,-5,3,-5,-2,0,-2,-14,-5
10345475,-7,-18,-7,-1,1,-2,22,0
10345475,17,-3,-1,-6,-1,0,-12,-10
10351752,6,6,-2,-3,-1,-1,19,-1
10351752,16,1,-17,0,4,4,0,0
10360445,19,-8,-1,-9,-6,-4,-16,-9
10360445,-14,-1,10,6,-2,-5,-23,3
10373749,8,-14,-5,-7,4,3,15,-3
10373749,-4,2,-11,-6,-9,-7,-22,1
10382456,-6,0,1,-4,-3,-6,-39,-10
10382456,-9,-5,-6,-5,-3,-1,27,14
10396456,33,16,13,10,3,3,2,-7
10396456,-28,-19,4,-4,1,0,28,-2
10405456,13,1,-7,-3,-3,-1,-5,-15
10405456,-32,19,9,2,-1,-5,-51,-3
10411745,-6,-15,-10,-8,-1,0,43,6
10411745,-22,-7,-3,-1,-4,-2,-14,-7
10420458,-4,-10,0,-3,-1,-3,-10,-1
10420458,-7,-17,-18,0,-1,0,10,-5
10433741,14,2,-4,-1,-1,-5,-19,-14
10433741,-13,15,13,4,3,4,21,23
10442458,6,7,22,-1,-3,-3,2,0
10442458,15,-2,-4,2,0,0,-1,3
10456968,-8,4,0,-4,-3,-3,-25,-10
10456968,13,-7,0,-3,-1,-3,-29,-14
10465476,-6,7,4,-1,-1,4,60,20
10465476,-15,-2,0,-3,-1,1,26,-14
10471483,-7,-1,0,2,-3,0,-15,-2
10471483,7,3,6,-3,-3,-3,-11,-5
10480478,-9,1,-4,1,2,1,-5,4
10480478,-6,-11,-7,-2,-3,-2,-11,5
10493742,-10,8,5,1,1,-1,-4,-2
10493742,9,0,-1,0,0,-1,9,-3
10502478,-6,-4,-10,-3,-5,-1,-11,-5
10502478,8,0,3,-4,0,-2,9,0
10516479,-6,-2,-4,3,-3,-3,-10,5
10516479,-1,-4,-18,-39,-11,-3,-8,-3
10525479,-5,0,8,36,4,-2,-4,-4
10525479,-3,6,11,4,12,1,1,-2
10531480,-3,-3,-1,-13,-1,0,12,8
10531480,4,-2,-2,5,-4,-2,-8,-2
10540480,0,-12,-15,-14,-11,-4,0,2
10540480,8,2,-7,-25,-11,-4,-10,2
10553490,-3,3,7,22,5,-1,-14,0
10553490,4,-3,-2,-9,6,2,25,2
10562491,-5,3,-2,-11,-6,-5,2,-6
10562491,23,-11,-9,5,-3,-1,-10,6
10576744,-15,4,7,-2,-2,-1,-7,-3
10576744,-4,0,-10,7,-2,-3,-26,-4
10585501,0,-3,6,1,2,3,36,10
10585501,-7,-3,-3,-2,-4,-2,-6,-11
10600502,-6,-16,-13,-6,-4,-4,-6,0
10600502,5,-2,1,7,1,2,18,-11
10602501,1,1,3,-6,0,0,-17,2
10602501,8,9,9,5,-1,-1,4,-3
10613502,-6,-8,1,-4,-3,-2,5,-3
10613502,-12,-16,0,6,-3,-6,-11,-4
10622502,-1,2,-10,-8,-1,-1,-4,-2
10622502,-8,2,6,4,-3,0,8,0
10636706,5,12,-4,4,-2,-2,-5,4
10636706,3,1,-3,-8,2,-2,-7,-2
10652496,-3,-3,3,-4,0,0,-4,-4
10652496,-5,-1,-4,4,1,-1,-9,0
10660271,-1,-2,-8,-18,-3,0,4,-2
10660271,4,1,1,9,-4,-3,4,3
10662770,-5,5,-3,-3,2,0,-8,-4
10662770,-3,-15,-8,0,-1,-1,3,-3
10672996,10,4,-7,-2,-5,0,3,2
10672996,-19,-3,10,12,7,-1,-5,-4
10681779,-8,7,2,-4,0,0,-3,-3
10681779,11,-10,-9,1,-3,-4,-30,-3
10696781,4,-3,8,-9,-2,3,16,0
10696781,-1,5,-8,-2,-5,0,-5,3
10704781,-1,-2,4,2,-2,-5,-8,-9
10704781,-2,-2,-1,-5,0,0,-5,4
10720780,-3,4,-2,2,0,-3,-8,-4
10720780,2,-6,4,2,0,0,-4,1
10721780,-5,-5,-3,-1,-2,1,-9,-7
10721780,-4,2,0,-3,-1,0,10,-1
10733781,-3,-4,-1,3,1,-3,-7,-1
10733781,0,-9,-4,-3,-4,0,5,0
10741782,3,-1,-5,-4,-2,-2,-5,1
10741782,-7,4,0,3,0,-1,0,-2
10756342,-1,1,-8,4,0,0,3,-2
10756342,0,7,2,1,-3,-3,-7,-2
10765805,-1,-5,-6,2,2,1,5,5
10765805,-2,0,8,2,0,0,7,-4
10779805,-1,-9,-1,5,1,0,-3,-2
10779805,-1,6,-4,-5,-2,-1,0,-8
10781805,5,0,-5,-5,-5,-4,-38,-1
10781805,-2,-1,1,19,1,4,64,3
10794806,-1,-2,-3,-9,1,0,-1,1
10794806,2,3,-5,5,2,-1,-10,-3
10802807,-3,4,2,-6,-1,1,8,4
10802807,-5,-14,-7,-6,-6,-5,-21,-11
10816806,5,10,4,-12,-2,-3,-1,1
10816806,5,0,2,0,0,-1,5,2
10824806,-7,-11,-7,-1,-2,-1,-4,-4
10824806,3,-5,7,-5,-4,0,-7,3
10840807,-2,8,-1,1,-2,-1,5,0
10840807,-5,4,-3,-5,-3,-2,-8,0
10841844,1,5,2,1,0,-2,4,-1
10841844,-5,-9,-5,-6,-2,-1,-5,2
10853317,1,0,2,2,-1,-2,-2,-1
10853317,0,-6,0,-3,0,1,1,0
