,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
2285,-1,-3,1,2,0,4,2,10
2286,2,-3,-8,-10,-8,-2,2,-5
2287,-14,-14,5,-3,-1,-2,7,-2
2288,3,0,-8,2,-2,-5,-1,-19
2289,11,16,-4,-1,2,1,7,26
2290,-4,-8,6,2,-1,-2,-8,6
2291,4,-3,8,1,-2,-3,0,-2
2292,-7,-4,-13,1,0,-1,1,-10
2293,-7,-8,15,-8,-5,-3,-5,-8
2294,-7,-1,2,1,-2,-1,-3,-6
2295,0,5,14,1,-1,1,4,-1
2296,3,-3,-6,-2,-2,0,0,4
2297,-4,-5,2,-3,-2,-1,1,-10
2298,-6,0,-4,-4,-2,0,2,3
2299,9,-4,-5,-1,-3,-1,-1,-4
2300,1,0,-3,0,-4,-3,4,7
2301,-3,-4,-4,-5,-1,-3,-3,-4
2302,-8,-1,5,1,1,-1,1,-6
2303,10,-2,1,5,-3,0,-10,3
2304,-4,6,11,-1,7,2,19,-2
2305,-12,-3,2,-7,-6,-3,-9,-11
2306,18,0,-9,-10,-4,-3,8,7
2307,-1,3,7,20,6,-2,-8,-2
2308,0,-8,-3,-8,-6,-3,0,3
2309,-2,-1,1,-9,0,-1,-7,-5
2310,-15,-4,-16,-8,-3,0,-11,-13
2311,1,8,8,7,2,-1,5,1
2312,1,4,3,5,-2,1,-10,-2
2313,-4,-16,2,-1,-3,-2,9,-3
2314,-4,-5,-31,-6,-6,-4,-17,0
2315,2,6,5,-4,-1,3,26,1
2316,-2,-5,-1,-1,-1,-3,-7,1
2317,1,-4,-17,1,-2,-4,-5,1
2318,-11,1,20,-1,2,1,-2,-1
2319,-4,-3,0,0,2,-1,3,-4
2320,1,6,-5,1,-2,-2,-24,4
2321,10,0,5,-2,-1,-1,44,6
2322,-15,-2,-5,1,0,-1,-5,-7
2323,-17,-12,-5,-5,-1,-3,-15,-8
2324,-6,-2,4,1,-3,0,-1,2
2325,9,-2,-9,0,-1,0,-10,-3
2326,0,4,4,1,-3,-4,0,-1
2327,2,-11,-1,2,0,0,-1,2
2328,1,0,-11,-7,-1,0,-1,-3
2329,-1,8,-5,-4,-1,-1,-10,-7
2330,10,-16,-4,-6,0,-1,12,3
2331,0,3,0,-8,-5,-3,-9,1
2332,4,1,8,14,5,1,0,-2
2333,-3,2,1,5,-1,0,-6,0
2334,-2,3,0,-2,-3,-1,5,-1
2335,2,1,-6,-9,-4,-1,1,-2
2336,2,-12,0,-4,-2,-2,0,-3
2337,1,6,-14,-12,0,-2,-7,3
2338,-3,-6,2,5,3,0,-7,1
2339,15,3,8,-4,-3,-3,-23,7
2340,9,13,-23,-1,-3,-2,26,1
2341,-4,-24,2,1,-1,0,-5,-3
2342,-5,6,6,0,0,-1,0,3
2343,2,1,-5,1,-2,0,25,2
2344,-12,0,-2,-2,-1,-3,-13,-1
2345,8,-2,0,0,0,0,-2,-3
2346,1,1,-3,1,1,-2,-6,-2
2347,-10,2,-1,-2,-2,-1,-6,-2
2348,-1,-3,5,1,-2,-1,0,-3
2349,-8,-6,-9,-4,-2,-2,3,-4
2350,1,-3,0,2,-1,0,1,-1
2351,-3,5,-6,-3,-1,-3,-3,-2
2352,4,1,1,-3,0,-1,-1,-1
2353,-10,2,7,5,-2,0,-3,0
2354,11,0,9,0,-1,0,-4,-9
2355,7,-2,-19,-2,-3,-1,-1,-2
2356,-9,14,7,-2,0,-1,-6,3
2357,-12,-13,8,1,-2,-2,-6,-5
2358,-2,-6,-6,-1,0,-1,11,1
2359,1,-3,5,-1,1,0,-7,0
2360,1,-2,-1,1,0,-1,-8,-2
2361,-5,7,-2,-1,-1,-2,0,2
2362,3,2,-6,-8,-2,-2,-7,-5
2363,12,0,3,9,4,2,-1,7
2364,-2,-12,-5,-6,-3,-1,-13,6
2365,11,-4,-2,0,1,0,13,0
2366,-9,2,-5,1,-1,-2,-7,0
2367,-4,0,4,-6,-6,-5,-9,-5
2368,-10,6,0,-1,-1,-1,-1,-1
2369,3,-3,1,-4,-2,-2,-4,-1
2370,4,2,5,2,0,1,1,0
2371,13,-12,-19,-8,-1,0,6,-4
2372,-15,-4,-2,0,-2,-3,7,-1
2373,-10,10,13,2,-3,-3,-10,-1
2374,8,-12,-11,4,-1,-1,2,-1
2375,-17,11,14,-8,0,-1,-3,-2
