,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1161,-1,-10,9,0,-3,0,-2,-3
1162,4,-1,-12,-6,-7,-4,-7,7
1163,-20,-1,3,-2,0,1,-2,8
1164,13,0,-6,-2,-2,-1,2,2
1165,14,-8,13,3,1,0,-3,-2
1166,-19,5,-3,3,1,-2,-1,-9
1167,-2,-14,-6,-3,-4,-2,3,8
1168,-13,4,-2,-3,-1,-1,-7,-6
1169,9,14,-2,2,-1,-1,-3,-1
1170,-4,-17,-2,-6,-5,0,-2,-3
1171,-3,-2,-7,-6,-4,-3,-1,-1
1172,-13,-2,-6,1,1,0,-4,1
1173,9,-4,1,1,1,-2,-2,-1
1174,-6,3,-3,-2,-2,-1,1,-14
1175,10,-2,1,-4,-4,-2,-21,10
1176,-13,4,-5,0,-1,0,32,-8
1177,16,-9,0,-1,-1,1,2,-1
1178,-8,-3,1,-1,-1,-3,-8,-2
1179,-6,5,-5,-7,-3,-3,-5,-20
1180,0,-8,-6,2,1,0,-22,15
1181,2,2,-2,-3,-2,-3,6,-65
1182,-2,-4,0,-2,-2,-1,-8,26
1183,-14,4,-1,5,1,0,3,-13
1184,27,-2,-7,-4,-5,-2,28,34
1185,12,6,6,1,1,-2,-25,-21
1186,-39,-8,2,-5,1,-1,23,10
1187,13,-2,2,-2,0,-1,5,15
1188,-9,8,1,1,-3,-4,-20,-24
1189,12,-9,-4,-2,-1,1,4,17
1190,-5,3,9,0,0,-1,-5,-15
1191,4,5,1,0,-1,0,-2,-1
1192,-28,1,7,0,0,-2,-1,-11
1193,3,6,-8,-2,-1,0,1,29
1194,3,6,-3,1,-1,-1,-3,-17
1195,-3,-21,-2,-2,-2,-1,13,7
1196,4,-2,1,-1,1,-3,-19,-17
1197,-13,6,-4,-1,-1,-1,3,5
1198,1,-10,-2,0,-2,-1,-1,1
1199,4,0,-4,-1,-2,-1,-2,0
1200,3,3,-3,-2,1,-3,0,1
1201,-10,-15,-5,-8,-4,-3,1,6
1202,15,5,-6,0,1,-1,1,3
1203,-11,-3,4,4,3,2,-7,-17
1204,-3,-4,-5,-8,-8,-1,3,23
1205,29,15,6,5,4,1,10,29
1206,-17,-13,-5,-8,-8,-3,-9,-14
1207,-1,-2,-6,-2,1,0,0,-1
1208,-6,-1,-2,2,3,1,-4,-9
1209,-11,-5,-1,-2,-4,-4,-3,-2
1210,10,-1,-8,1,1,-1,-6,-3
1211,0,1,-5,-4,-2,-1,8,15
1212,6,3,2,0,-1,-1,0,-10
1213,-44,8,19,0,-4,-1,-2,-1
1214,31,7,-26,0,-1,-2,-5,4
1215,-6,-2,-4,-2,-3,-2,-1,5
1216,-6,-16,1,0,-1,-2,-13,-10
1217,7,-9,-8,-4,-3,-3,-13,31
1218,-3,-7,10,2,2,3,26,-5
1219,14,10,-4,-2,-2,-1,-1,13
1220,19,1,-3,-1,-3,-2,-9,2
1221,-46,-3,-2,0,1,0,-6,-13
1222,-4,8,5,-2,-2,0,-7,-3
1223,8,-10,5,-2,-3,-3,1,-9
1224,-9,-1,3,-3,-2,-1,-3,4
1225,4,-13,-11,-2,-1,-4,2,-18
1226,5,-2,-3,-2,-2,-3,0,-6
1227,-16,4,6,7,2,0,6,-9
1228,8,4,-7,-9,-5,-1,0,3
1229,8,0,-4,3,0,0,3,1
1230,-11,3,6,-1,-2,-1,-2,-3
1231,4,-10,-3,-2,-1,-3,-20,-5
1232,-1,-8,14,3,1,0,8,6
1233,12,3,-18,-4,-2,1,14,-12
1234,-6,-1,1,-1,1,-1,-24,-1
1235,3,6,2,-4,-5,-1,27,6
1236,-5,-10,-2,-1,-2,-2,10,-6
1237,4,2,1,-5,-5,-2,6,-2
1238,-6,-4,0,0,0,-3,-4,-3
1239,-4,7,-5,-3,-1,-1,-14,-2
1240,-6,-13,-8,-1,-2,-2,-3,-8
1241,8,4,9,1,0,-1,-6,-4
1242,-3,-3,-2,-1,-4,-1,1,0
1243,0,-2,1,-3,-3,-3,-2,10
1244,4,-4,-12,-1,-1,1,1,-4
1245,-4,14,-4,-1,-2,-1,-3,2
1246,-7,-5,4,-2,-1,-2,-3,-2
1247,-6,-3,-7,-3,-2,-1,1,-3
1248,5,0,7,2,1,-2,-4,-7
1249,8,-6,1,-3,-1,-3,-16,1
1250,-27,7,-7,-3,-2,-2,34,3
1251,7,-16,-17,3,2,3,-7,6
1252,-7,4,-3,-6,-3,-3,2,2
1253,-2,-3,5,-1,0,-3,-5,-8
1254,12,-2,-8,-4,-3,-1,-9,-2
1255,-10,-13,1,1,2,-2,-9,-13
1256,-3,7,6,-2,-4,1,6,13
1257,-6,-4,-21,0,-1,-1,2,4
1258,1,4,-17,-6,-2,-1,0,-9
1259,1,7,10,-1,-2,-4,-6,1
1260,8,-4,-5,3,1,0,-8,-8
1261,-1,-1,6,0,-1,-1,2,-1
1262,5,-8,2,0,0,-1,-9,-6
1263,-4,5,-4,-2,-2,-2,6,0
1264,-1,11,-4,0,-1,-1,-1,-5
1265,-18,-13,3,-2,-2,-1,-3,-2
1266,7,-5,1,-2,-2,-1,1,0
1267,1,-7,2,-4,-4,-2,-4,-6
1268,-5,0,2,2,1,-2,8,3
1269,11,3,-1,-4,-3,0,-2,7
1270,-13,-6,3,2,-1,-2,-14,-6
1271,-3,3,-2,-4,-3,-5,9,-7
1272,-10,-6,0,-2,0,-2,-6,-17
1273,0,8,-12,0,1,-1,9,7
1274,2,-5,5,0,-2,-1,-10,4
1275,6,15,10,0,-1,0,1,4
