,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1605,-17,0,5,1,-2,2,46,-14
1606,18,6,8,-76,-7,1,-1,7
1607,-10,-3,-39,65,4,1,-8,2
1608,0,-8,79,25,10,-5,-58,-12
1609,-2,0,24,3,1,2,22,14
1610,20,3,6,36,-6,-2,36,9
1611,-25,6,25,-111,-5,1,2,5
1612,-19,-10,-35,-41,0,-2,4,-9
1613,34,12,16,21,3,0,-20,7
1614,-19,-4,-38,-48,-4,-1,-9,-6
1615,-3,-4,-4,47,-3,-1,4,-2
1616,35,11,26,98,4,0,-2,-4
1617,-8,-14,-47,-104,-9,-7,-14,-8
1618,0,2,12,47,-1,-5,5,1
1619,9,-11,-16,34,-3,0,4,0
1620,0,-6,-47,-52,-2,-2,1,1
1621,-7,2,45,57,-3,-4,-9,-7
1622,3,8,-6,-15,0,-1,-28,-15
1623,-1,-11,-10,-26,3,2,36,15
1624,-5,12,13,44,-5,2,6,1
1625,0,8,10,3,0,-2,-7,0
1626,-19,-11,-4,-6,4,-2,-12,-1
1627,16,5,-6,-20,-2,-5,-30,-25
1628,2,28,-10,14,-9,1,25,20
1629,8,-45,-29,-35,-5,-2,17,-6
1630,-4,-12,-2,12,1,0,18,-13
1631,-9,1,-1,-16,0,-1,-12,10
1632,1,-1,-17,-2,-1,-1,-2,-1
1633,4,18,9,58,0,-3,-19,-2
1634,-2,-2,-17,-31,-2,0,2,1
1635,-2,-7,5,-24,-2,-2,0,-3
1636,3,-5,-13,-4,-4,-4,-5,0
1637,-11,4,1,23,1,2,1,11
1638,-2,-6,25,9,-3,-2,-6,-15
1639,-9,2,-21,-25,-2,-1,-7,-3
1640,2,-7,-19,11,-1,-1,-3,5
1641,19,3,-6,11,1,2,-2,33
1642,-33,2,3,-2,-2,-1,2,1
1643,-5,-10,6,-14,-1,-3,-8,-27
1644,3,-15,3,12,0,0,-4,-24
1645,-17,13,6,0,3,0,-4,24
1646,19,-13,-34,-4,-2,-2,-6,-22
1647,-4,4,8,1,-1,0,5,-9
1648,23,-4,-3,-1,-3,-4,-7,-4
1649,-7,9,-1,-1,1,-1,-9,-13
1650,9,4,7,5,0,0,0,31
1651,5,-5,-12,-9,-5,-1,-5,-10
1652,-3,0,-1,-4,-4,-1,15,-4
1653,1,-2,-6,0,0,3,1,0
1654,3,-3,3,10,4,-2,-2,4
1655,4,-6,-5,-13,-5,-1,-3,-4
1656,-15,1,0,-2,-2,-3,-7,13
1657,-10,-9,0,1,-5,-4,-11,-8
1658,-6,1,-10,3,2,2,19,-3
1659,-1,3,2,1,3,2,1,5
1660,-8,-1,-2,-1,-2,-1,-5,6
1661,4,-4,-7,-2,-2,-2,-1,-10
1662,-5,-2,5,1,-3,0,-10,-15
1663,-6,-3,-3,-7,-1,-4,6,13
1664,-3,-2,-15,0,-1,0,-4,-7
1665,13,4,13,-2,-2,-1,4,-18
1666,-16,4,11,1,-2,-2,-5,19
1667,7,-12,-11,-2,0,2,5,-2
1668,11,7,1,-1,-4,-4,-6,-2
1669,-26,-33,-17,-4,-1,-1,-11,-11
1670,27,17,11,2,-2,-1,-8,-2
1671,2,-2,1,0,-1,-1,1,2
1672,-1,5,10,2,-1,3,45,29
1673,4,9,-9,2,-1,-1,-5,-18
1674,7,-9,-2,2,-2,-2,-4,0
1675,-10,-7,-1,-5,-2,-2,-22,2
1676,-7,2,9,0,0,-3,-16,-1
1677,3,10,0,-1,-4,-3,13,-8
1678,-14,-13,-9,-3,-2,0,-19,-4
1679,17,19,0,-7,-3,0,35,2
1680,-40,-3,-8,-1,-3,-4,-14,-1
1681,-22,-11,-3,-2,0,-1,5,8
1682,7,-2,-1,0,-1,-2,-13,-5
1683,-13,-2,-3,-3,-4,-4,-4,22
1684,10,-4,-2,-1,1,1,-8,-8
1685,-3,-1,-19,-4,1,-1,25,-5
1686,2,-10,0,-1,-2,-1,11,1
1687,-6,3,4,0,0,-3,-19,0
1688,-4,-4,2,-1,-2,-2,10,-11
1689,4,5,-1,-1,1,-2,-24,3
1690,12,-10,1,0,-1,1,11,3
1691,-10,-5,-6,1,0,0,0,-1
1692,-4,7,-4,-2,-1,-1,-19,-22
1693,15,-11,-9,-2,-4,-3,-11,-3
1694,-12,-2,-25,-8,-4,-3,5,-2
1695,26,6,5,0,-2,-1,1,-15
1696,-9,-14,-2,-2,-1,-2,1,1
1697,6,14,7,6,4,1,-11,6
1698,-25,-1,8,-5,-8,-4,11,-2
1699,7,-10,-2,-1,-1,-4,-11,-6
1700,9,3,-2,-1,0,-1,0,-1
1701,-9,-5,2,3,-1,-2,-3,-1
1702,7,-3,4,1,1,-2,-6,-1
1703,-17,5,-24,-1,-1,-2,-9,-2
1704,0,-19,5,-2,-2,1,24,1
1705,5,5,11,-1,-1,2,28,7
1706,-22,-4,3,4,3,1,-16,-9
1707,71,13,3,2,-1,1,20,-1
1708,-35,6,-12,-7,-3,-1,-17,4
1709,-17,-21,-2,-2,0,0,-18,-6
1710,-6,-3,-4,-2,-2,-1,9,-1
1711,-3,-15,1,0,0,1,-6,-1
1712,29,17,-2,-2,0,-1,-16,-2
1713,-5,11,3,0,0,-1,1,1
1714,0,3,4,0,3,0,3,0
1715,-16,0,4,-5,-6,-2,4,-3
1716,-24,-5,-11,2,-1,-2,-6,0
1717,-9,4,1,-7,-3,-3,1,-4
1718,16,4,8,-4,-1,-3,1,-1
1719,-17,-10,-4,-4,-1,-3,-5,1
