,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,-1,6,15,4,-2,-2,-3,0
1,1,1,10,-1,-3,-2,-3,-1
2,-4,-1,-10,-3,-2,-2,-1,0
3,3,2,-6,-3,-1,-1,-2,3
4,-2,-6,9,2,0,-1,3,1
5,-2,1,11,2,0,-1,-1,-5
6,-5,10,11,4,0,-2,-5,2
7,7,-11,-35,-5,-3,-2,-1,-5
8,-2,5,3,-7,-5,-1,-3,-1
9,-3,-8,-6,-2,-2,1,-4,-2
10,7,0,7,6,0,1,-3,-5
11,6,-19,8,-13,-2,-2,-2,-6
12,2,14,-20,2,1,-1,2,4
13,-3,-8,-2,-2,-2,-2,5,-5
14,-6,-9,8,-8,-1,-1,-10,-4
15,-6,19,20,14,-3,-3,-1,0
16,0,-9,-11,-4,-3,-2,-4,-2
17,0,1,8,-2,0,0,1,-3
18,-4,-5,-9,3,1,-1,-2,0
19,-8,-6,12,-2,-3,-1,-2,-1
20,0,7,-35,-8,1,1,2,0
21,-3,7,-13,0,-6,-4,-7,-1
22,2,-26,-1,-7,-7,-4,4,-3
23,-5,2,5,1,2,0,-4,-2
24,0,5,-8,-6,0,1,-2,2
25,4,4,-1,1,-2,-2,-2,0
26,-1,4,-4,-3,-1,-1,-2,-6
27,-3,-5,7,3,0,0,-2,-2
28,-6,0,-9,-2,-2,-2,-1,2
29,12,-3,-2,0,0,1,-2,-4
30,-3,-9,-10,-2,-4,-3,5,-1
31,2,5,12,-1,0,1,-15,0
32,-1,9,3,3,1,0,3,-5
33,-7,-10,-30,-14,-8,-4,-2,-2
34,0,13,1,4,1,1,0,0
35,5,-9,-28,1,0,-2,-2,-4
36,1,-2,-15,-11,-4,-5,-2,-4
37,-5,-10,-4,-4,-1,-1,-2,0
38,1,6,24,3,0,0,-2,1
39,-7,10,11,6,-2,-2,2,0
40,0,-26,36,6,2,2,1,4
41,-4,16,-17,-15,-2,-2,-1,-1
42,-4,-3,5,-4,-1,-2,-3,1
43,2,-6,-8,-6,-2,0,8,1
44,5,16,10,7,-3,-4,-1,-2
45,-1,-5,30,9,0,0,-1,0
46,-9,-10,-22,-6,0,0,-2,4
47,-1,8,8,2,-1,0,0,0
48,-1,-15,-9,0,-3,-2,-3,-3
49,-1,4,3,-8,-8,-5,-3,-1
50,-3,4,9,0,2,0,-1,-4
51,5,-24,-18,-7,-2,0,5,-2
52,-9,-6,-16,-3,-1,-1,-3,-4
53,-1,1,12,8,3,1,0,-1
54,1,6,-22,-5,-5,-3,-1,3
55,-2,4,11,2,1,-3,-4,2
56,-3,-5,18,-4,0,0,0,-6
57,-12,-6,-14,4,2,0,0,-1
58,8,-5,-4,0,-2,-1,-4,-3
59,3,-3,2,-6,-2,-2,-2,2
60,-3,14,-20,-3,-3,-1,-1,0
61,3,2,22,5,3,0,3,-1
62,-7,-18,-12,-7,-4,-1,1,-6
63,13,14,1,4,0,-1,-3,2
