,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,0,-2,6,2,-3,-3,-9,-13
1,2,3,6,-7,-9,-3,4,2
2,4,-2,-12,-11,-4,-1,-4,-7
3,-2,-1,12,48,-1,-5,-4,0
4,-11,-3,2,-35,1,0,0,1
5,1,-20,-19,19,7,0,1,-5
6,-4,12,-6,-17,-9,-2,-4,1
7,14,1,-39,-3,3,4,0,5
8,-6,-6,10,10,0,-2,1,-4
9,11,-5,-12,-5,-5,-2,-4,-1
10,-2,7,12,33,4,-6,2,0
11,-2,-23,0,-41,-11,2,1,-2
12,-2,6,-11,0,3,2,3,2
13,-5,-4,15,-17,-6,-3,-11,-2
14,-3,3,3,9,-3,-2,22,-5
15,5,13,11,1,6,-3,0,-1
16,10,-3,4,-1,-3,-1,1,0
17,-15,-3,-1,-1,3,1,-1,0
18,3,1,0,-3,2,-1,-5,-3
19,-10,-2,-12,-11,-5,-3,-4,-3
20,2,0,-7,1,-1,-2,0,2
21,-1,5,-8,-8,-4,-5,-10,-1
22,-3,-2,1,-7,0,-1,-4,1
23,-27,-10,-2,7,3,3,-6,-3
24,3,7,36,-19,3,3,1,0
25,7,-18,0,28,1,0,5,0
26,-1,3,-41,-52,-13,-3,1,-1
27,-2,5,2,32,8,-2,-2,1
28,-6,-6,-6,-31,-12,-1,-11,-9
29,1,-2,15,12,3,-1,3,-6
30,-10,-4,3,8,2,-3,-10,4
31,0,-4,-2,-1,-1,-1,20,1
32,1,4,-16,1,-1,-2,2,2
33,-2,2,6,-1,1,-1,-10,-5
34,-2,-6,-5,-5,-3,1,5,-4
35,0,-2,-2,-11,1,-1,3,0
36,19,-4,-3,18,-3,-5,1,-1
37,-11,1,6,-12,-4,0,5,0
38,18,-7,8,5,1,0,-6,0
39,-1,5,0,-9,-4,-2,-9,1
40,4,-1,-10,-3,0,-4,1,0
41,8,-10,31,2,0,-1,-1,-1
42,-11,9,-11,42,8,0,-2,1
43,9,-18,-23,-38,-8,0,-1,-2
44,-9,4,0,20,0,-4,-5,-3
45,0,8,-7,-41,-11,0,-7,-2
46,0,-2,14,9,-10,-3,1,-3
47,-17,-10,-3,-2,1,0,-7,-1
48,-7,8,-5,9,2,0,0,1
49,-10,-14,-10,3,2,-2,-1,-1
50,2,2,2,-3,4,-2,1,-6
51,-1,1,15,-9,-7,-1,-6,0
52,-4,3,6,11,-3,-1,1,-1
53,3,9,-26,-16,-2,-3,-7,1
54,-5,-5,2,-16,2,1,3,-2
55,12,2,28,18,0,-3,-10,-3
56,-3,-7,2,13,8,2,-4,-5
57,-9,1,-6,-4,-7,-4,-4,-1
58,3,-8,-19,-14,-3,-3,-2,4
59,-10,13,-8,12,7,0,-5,-2
60,2,-16,21,-11,-5,-2,10,4
61,-2,6,-13,17,5,1,-1,-1
62,-4,-1,33,7,1,-1,-1,-5
63,-2,-5,-23,-8,4,0,-3,-2
64,-4,-2,-12,-37,-5,-5,-6,0
65,2,-2,4,14,-3,-2,0,-1
66,8,1,2,13,-3,-2,3,13
67,2,5,6,4,-3,1,-7,0
68,-1,1,-11,23,16,3,7,1
69,3,1,-4,-25,-22,-5,0,0
70,-8,-2,-4,-2,-1,0,-2,4
71,4,-1,-14,-19,0,1,-9,2
72,-8,-2,-12,4,0,0,1,-1
73,-1,-10,10,2,6,-2,-6,0
74,-4,2,-14,1,-3,-4,-8,-4
75,-2,11,22,35,-2,-2,7,-4
76,0,-14,-11,-17,-5,-1,-3,0
77,-6,-3,-26,-21,1,-2,3,-4
78,-4,-2,7,-14,-8,-4,-3,-7
79,15,-3,-2,3,-2,-3,-8,-2
80,-4,6,7,9,3,2,9,2
81,-6,13,10,5,4,3,4,-10
82,-5,-14,-16,14,1,-1,-4,-4
83,-4,0,-1,-46,-13,-2,0,-5
84,2,2,-7,7,-13,-3,-5,-3
85,1,-2,-6,-8,4,0,-1,4
86,-5,4,8,11,8,0,2,-4
87,-6,3,0,10,4,0,4,-1
88,3,-10,-1,-17,-8,-2,1,-4
89,3,1,20,28,4,0,-7,-1
90,4,-3,-39,-42,-6,-2,-7,-2
91,-6,-20,5,1,-3,-2,3,7
92,5,8,-8,1,1,-2,-8,-5
93,-4,-2,-11,5,-4,-3,3,0
94,2,15,28,33,3,-3,-8,-4
95,1,-5,-27,-34,-7,-2,19,0
96,-6,-5,0,0,-5,-2,5,0
97,-1,-6,-8,-10,1,0,1,-1
98,-1,6,4,-2,0,2,4,2
99,-7,8,-7,8,3,0,-5,-9
100,-3,-3,14,8,0,0,-5,-1
101,-2,-1,-13,-3,-4,-3,1,-2
102,16,0,18,9,8,1,4,-2
103,-11,2,-4,-29,-16,-5,-4,0
104,0,-9,9,2,5,-2,-2,3
105,-5,4,13,1,-1,-1,0,-3
106,0,-6,4,8,-2,-3,-4,-2
107,1,6,12,-8,1,0,-1,1
108,-6,-6,-5,12,-5,0,-1,-2
109,-1,-6,-14,-20,-3,0,1,3
110,15,-1,-3,-13,-4,0,-2,-4
111,1,1,7,35,6,0,5,-1
112,-1,5,-4,-16,1,0,-2,0
113,1,0,-2,5,1,0,-8,4
114,-23,-10,-2,-3,-1,-3,1,-7
115,-2,-10,-5,6,-5,-3,-4,-12
116,0,1,1,8,0,-1,-6,-4
