timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
4854152,-7,8,-6,-2,-3,-2,0,-6
4854152,-13,-9,-5,-3,-3,-2,-10,-4
4867208,7,9,0,0,0,0,5,1
4867208,2,-3,-6,3,1,0,2,2
4876108,4,-3,4,-1,-3,-2,-3,-1
4876108,-13,4,-2,-1,-3,-3,0,1
4882158,-9,-4,2,-1,-1,0,-7,-10
4882158,10,-13,-2,0,0,-1,-1,2
4892172,1,12,-2,-2,-1,0,-2,-4
4892172,3,2,7,4,4,1,4,9
4905208,-3,-2,-8,5,2,-3,-2,-1
4905208,-14,-20,-18,-18,-9,-2,-2,-8
4913109,8,6,1,-2,0,-4,-2,7
4913109,11,28,26,10,5,1,-1,-10
4927255,-11,-16,-9,-6,-5,0,3,-5
4927255,-7,-12,24,4,0,-1,-3,-9
4936112,7,0,-47,-12,-5,-3,-1,-18
4936112,-24,-7,21,-10,-8,-4,0,4
4951138,32,14,-4,14,10,2,-2,11
4951138,3,-18,7,-11,-7,-6,-8,-11
4952638,-9,-8,2,3,1,4,7,7
4952638,-26,16,16,6,5,0,3,6
4965198,2,-20,-34,-19,-9,-3,-2,-2
4965198,-8,23,-2,7,4,0,4,5
4974159,-15,7,-1,1,-1,-1,-18,-8
4974159,24,-25,4,-1,-1,-1,9,1
4987168,-15,11,16,3,0,-3,-5,-20
4987168,1,2,-13,-1,-2,-2,-1,8
4996169,8,6,6,0,0,-2,5,20
4996169,1,-17,-13,0,-1,0,-3,-7
5011202,-4,1,0,-6,-1,-1,-3,-2
5011202,1,6,-12,-3,-2,-1,-1,-8
5013146,-8,-3,11,6,2,0,-2,0
5013146,8,3,-13,-4,-4,-5,-18,-1
5024148,-10,-12,-1,-4,-2,2,38,6
5024148,1,3,2,1,0,-2,-10,-4
5033204,0,-1,8,1,-1,-2,10,2
5033204,-4,-12,-18,-7,-4,-2,-15,-3
5046865,3,9,2,-2,-1,-3,-15,-20
5046865,2,6,-1,5,3,3,14,-9
5056901,2,-3,-3,-4,-6,-4,-1,21
5056901,0,2,-12,-7,-2,2,12,-7
5070599,2,-5,6,2,-2,-3,-13,4
5070599,4,0,-3,-3,1,0,3,14
5072382,-1,9,20,4,0,2,19,37
5072382,-10,-17,2,3,1,-1,16,-6
5084651,15,-7,-1,-4,-1,-1,-7,-6
5084651,-28,-1,-17,-4,-2,-5,-21,-18
5093419,25,10,26,1,-1,-2,-15,-4
5093419,21,-11,-37,-10,-4,-1,5,24
5107386,-21,8,14,-3,-2,0,-6,-5
5107386,11,-6,8,3,-1,-2,6,26
5115386,-11,1,-11,-2,-1,0,-3,-26
5115386,0,-11,-7,-2,-3,-3,-5,-12
5130389,2,3,0,0,0,-2,-7,6
5130389,2,7,4,1,0,-1,2,-3
5132387,-6,-16,-7,-7,-2,-1,3,-7
5132387,-10,-6,0,1,-1,-2,-4,-9
5145312,1,7,-3,2,1,1,-2,5
5145312,-3,-1,3,-2,-1,0,3,0
5153680,-8,2,-5,1,-1,-1,-2,-10
5153680,-4,2,0,-3,-3,-4,1,-3
5166697,0,-9,2,-1,-5,-2,-2,-4
5166697,-6,2,-2,2,1,-2,-6,-15
5176690,4,3,-8,-1,-2,2,0,7
5176690,-7,-10,-1,-1,-1,-4,-23,-18
5190980,-6,9,9,-3,-3,0,44,12
5190980,-3,-7,-4,-3,-2,-1,-5,9
5192691,4,-3,-10,-1,0,-1,-4,-16
5192691,-6,9,28,0,0,-2,0,-3
5204994,2,-4,-23,0,-1,-2,-16,-3
5204994,-4,-9,-7,-4,-2,0,1,-2
5213694,-8,-3,2,-2,0,-1,0,-7
5213694,7,12,3,0,-1,0,1,3
5226696,-5,-19,5,-3,-4,-4,-9,3
5226696,5,4,-6,-3,-4,-3,0,-2
5236694,-5,0,-2,0,-1,-2,-3,0
5236694,-7,-5,-7,-2,-1,-1,-12,-5
5250221,13,17,1,-2,-2,-3,-11,-33
5250221,9,-12,-4,0,-2,1,12,44
5256990,-36,-29,-4,-5,-2,-1,14,-12
5256990,-6,5,-8,-3,-4,0,34,9
5264997,-5,0,-6,0,0,-2,-10,4
5264997,13,18,7,0,-3,-4,-11,-20
5273997,1,-18,-11,-2,-1,0,-4,5
5273997,14,-6,8,3,1,-2,-8,2
5287218,-34,-4,-26,-3,0,-2,-3,-6
5287218,3,7,0,-2,1,-1,3,2
5296998,-1,-9,5,4,1,0,-5,1
5296998,3,4,-10,-2,-3,0,-2,-9
5311243,14,-3,8,0,-3,0,-8,10
5311243,-7,2,-2,-2,-1,-2,-5,-6
5316999,-10,-6,-4,-4,-2,-5,-4,-5
5316999,14,-4,2,-1,0,0,-3,1
5325239,11,-2,-1,1,0,-1,4,0
5325239,-15,1,-1,-2,-2,1,-5,-5
5334000,3,14,0,1,-2,-2,-2,4
5334000,-5,-11,-5,-2,-2,-2,1,-3
5347026,-2,-9,2,-2,-3,-1,-13,0
5347026,6,-2,-7,-3,-4,-4,14,-4
5357028,-1,17,-2,-2,-2,-2,-2,-1
5357028,-6,-19,-2,1,2,0,-2,1
5370036,-5,14,1,-3,1,0,-4,3
5370036,-9,-15,2,-4,-2,-3,-11,-12
