timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
5700623,2,13,22,20,-1,-2,-21,2
5700623,-5,-13,-1,2,0,-2,1,-4
5701587,-11,-6,-8,-29,-5,-3,-12,-3
5701587,5,8,10,2,-1,-1,-13,3
5722612,-1,-14,-8,7,-2,-1,-3,-10
5722612,8,-2,0,-11,3,2,17,1
5723606,-3,0,-2,-4,-1,-3,-18,-6
5723606,-12,-8,23,13,-2,-4,-33,-6
5738608,-3,10,0,12,8,7,50,-3
5738608,16,1,-6,-56,-8,-2,-6,5
5744607,-9,-6,-21,45,3,2,28,-5
5744607,-5,-1,26,42,-3,-4,7,9
5760679,0,-4,-102,-104,-13,-5,-35,-1
5760679,-13,-4,36,36,3,-4,-22,4
5761607,17,-5,31,67,2,2,6,-2
5761607,-8,7,-27,-55,1,2,28,4
5782609,1,-5,52,127,1,-3,-10,-5
5782609,19,-2,-70,-128,-9,-1,13,-2
5783608,-5,-3,-10,-22,2,-5,-22,7
5783608,6,4,-1,45,-3,0,15,-14
5799609,-3,-3,34,63,-2,-5,-38,19
5799609,4,1,-9,-62,5,-2,4,-13
5805050,-17,0,0,24,-2,1,-29,-15
5805050,16,-6,11,45,4,3,10,34
5820787,-1,9,-20,-52,-8,-3,-13,4
5820787,-3,0,40,44,7,-1,8,-6
5821558,-5,4,11,-37,-3,1,-14,5
5821558,-11,0,-15,5,0,0,1,-14
5842771,10,-4,-13,-16,-1,0,5,2
5842771,-18,-29,26,98,1,1,3,3
5843559,-2,6,-44,-33,-2,-3,2,-1
5843559,11,3,-19,-95,-5,-1,1,-7
5858560,-11,-1,9,-6,4,-2,9,0
5858560,0,9,-5,14,-4,-1,-3,-2
5864561,6,5,21,22,-4,-1,14,8
5864561,0,-5,-19,27,0,-2,-7,-6
5880793,-12,-16,-43,-69,-1,-1,12,-10
5880793,-2,2,9,33,-4,-5,-33,-18
5881562,17,13,5,-23,-3,-3,11,22
5881562,15,3,5,-2,2,6,40,8
5902783,-20,-5,14,-10,1,0,-31,-10
5902783,-18,-12,-8,5,-4,1,40,19
5904051,1,-2,-4,-13,-2,0,-15,-14
5904051,-35,7,-8,-9,-1,-5,-29,-19
5919294,52,7,26,17,1,0,14,12
5919294,22,16,-3,-1,-3,-2,-27,0
5924300,-6,2,7,-4,2,0,13,3
5924300,-21,-24,-23,-6,-2,-2,-7,8
5940295,12,4,4,-3,2,-1,0,2
5940295,-13,-12,7,-1,-2,-2,-5,-5
5948295,8,-19,-16,-11,-2,-3,2,-20
5948295,5,4,10,0,-2,-2,-11,-5
5963297,6,1,3,3,0,1,15,0
5963297,-10,15,-5,1,0,-1,1,6
5964297,-3,-20,4,-7,-6,-2,-3,-18
5964297,8,2,2,1,0,-1,21,-2
5978311,-36,-5,6,-2,-4,-3,-3,-3
5978311,6,7,-1,4,3,2,2,0
5985351,-6,-1,-8,-5,0,-2,-3,-2
5985351,-4,-7,-5,-6,-2,-3,-14,-5
6000346,2,12,5,0,0,-2,8,7
6000346,3,-13,-5,0,-1,-2,-4,-3
6008091,-7,3,-4,-4,1,1,15,4
6008091,-3,-4,4,1,1,0,-1,2
6022611,11,-5,-1,-1,-3,-1,7,1
6022611,-5,13,7,-1,-2,-1,-18,-7
6023611,-16,0,-18,-1,-2,-2,-3,8
6023611,3,-9,1,-2,2,0,9,9
6038611,-2,-1,0,-1,-4,-1,-8,-10
6038611,0,3,-10,-8,-7,-5,-6,-1
6045612,-13,-15,7,-1,1,2,15,7
6045612,18,4,13,2,-1,-3,-19,0
6059619,-11,-3,1,1,0,-2,-12,-22
6059619,7,-2,-12,-2,-2,2,18,6
6067619,3,2,4,3,-1,-1,-30,0
6067619,-6,4,20,0,-1,-3,8,-5
6082829,-5,-14,-3,-2,0,0,8,0
6082829,7,2,-10,-1,0,-3,0,-4
6083613,0,2,8,-4,-3,-2,-12,-1
6083613,-3,8,3,-4,-2,0,-3,-9
6098614,-5,-15,-4,-3,-2,-4,-12,1
6098614,28,-7,-1,-1,-3,-2,0,-3
6105209,-25,0,-15,-2,-1,-1,8,2
6105209,-32,2,0,0,-1,-2,-10,-9
6120347,21,14,-2,-3,-2,0,12,8
6120347,-3,2,-5,0,-2,-2,-21,8
6128205,27,-1,14,-1,-1,3,9,-11
6128205,-21,-19,-21,-7,-7,-5,-26,0
