timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
9247188,-27,-1,20,15,2,7,38,1
9247188,9,2,-37,-40,-5,-4,-28,-10
9255205,12,3,9,25,-4,0,11,19
9255205,-6,6,-5,-30,-1,-1,-9,-2
9271202,18,-8,25,46,2,-2,-6,-3
9271202,-6,0,4,-17,2,-1,-1,0
9272206,-13,-1,-2,-3,-1,0,-4,-6
9272206,17,-3,-12,-5,-4,-2,-2,-9
9287189,-9,9,-4,-4,-2,-1,-3,9
9287189,-7,-4,5,-40,1,1,0,-5
9293203,-9,-8,-4,10,-4,-6,-10,-6
9293203,-4,5,26,85,1,-3,-10,-5
9308173,-5,7,-4,-111,2,5,53,9
9308173,10,-28,32,127,0,-2,2,6
9315406,-5,1,-31,-113,2,2,-9,-6
9315406,-2,13,-32,6,-13,-5,2,-17
9330214,-13,-15,6,35,2,1,-35,-2
9330214,10,1,7,109,-1,1,5,14
9331214,-15,-2,-24,-77,-1,-2,5,-11
9331214,7,-3,8,16,0,-1,-13,-1
9347216,9,12,17,37,1,0,56,28
9347216,2,3,-73,-118,-5,-1,-30,4
9352221,-17,-12,22,51,-2,-6,-43,-33
9352221,-1,2,11,2,6,5,37,3
9368236,23,5,-13,-14,-6,-6,-46,0
9368236,-15,7,-20,10,-9,-2,32,2
9375278,1,-21,13,77,4,-2,-4,10
9375278,-7,-15,6,-101,-7,-4,-17,-18
9391276,-3,-4,0,25,5,1,3,-14
9391276,-7,19,5,-4,-5,-8,-10,3
9391276,19,8,-11,10,-3,1,10,11
9391276,-12,-2,-12,-53,-5,-2,5,5
9406856,-14,-12,-7,30,1,-1,-8,-10
9406856,-1,9,45,-18,2,-1,-3,-13
9412822,5,14,-36,-48,-8,0,8,-2
9412822,-4,-19,13,41,5,2,8,20
9436160,-7,12,2,-38,-6,-3,-11,-16
9436160,0,-10,-15,56,-2,1,1,-5
9436160,-1,-6,-7,-34,8,1,12,6
9436160,-13,7,8,13,-2,-1,-10,-4
9450161,17,5,-6,-17,-3,-4,-23,0
9450161,-29,-3,11,24,1,2,39,20
9451161,11,-7,-2,-36,-5,0,-10,-6
9451161,-3,-3,12,3,1,-1,2,-4
9466196,-18,-12,-11,-9,-3,-4,-9,-16
9466196,11,2,11,-13,4,1,-13,-1
9473197,-1,5,6,10,-3,-1,-10,3
9473197,22,3,-10,13,-3,-4,-3,-2
9488194,-31,-21,-7,-12,-8,-4,-1,-6
9488194,24,18,-6,-7,4,1,-8,-12
9495195,-10,-2,25,28,-3,-1,15,7
9495195,-17,11,-12,7,-1,-1,-6,3
9511142,2,-19,-13,-5,-2,-1,5,-1
9511142,-1,-9,-7,-25,-3,-4,-9,-2
9511971,3,16,-1,25,1,1,9,10
9511971,22,2,-1,7,0,1,-2,18
9526922,-4,6,-12,-17,-5,0,4,50
9526922,-6,-13,16,-9,3,1,-3,-31
9533147,-45,3,-8,10,-2,-2,-4,-83
9533147,2,-33,3,-4,-2,-4,-17,-25
9548150,0,9,-5,-1,2,0,26,-6
9548150,15,-11,8,2,-3,0,-10,19
9555153,12,8,10,2,-2,-3,0,21
9555153,-8,4,-4,-4,3,2,24,-10
9571160,23,9,-2,1,-2,-2,-16,-32
9571160,-1,-6,2,-8,-4,-2,5,11
9572155,6,1,8,0,2,0,5,13
9572155,-13,-3,-8,-2,-2,0,4,3
9586925,15,-6,2,3,1,-1,-4,2
9586925,-10,8,4,-7,-4,-2,1,-1
9593156,1,-11,4,6,1,1,-1,6
9593156,13,-2,-6,-2,-3,-4,-5,7
9608169,-9,-2,-3,-1,1,-1,-3,-1
9608169,0,-7,-1,-8,-3,-3,-3,-5
9614624,-5,5,-2,-1,-5,-2,1,4
9614624,-9,-1,0,7,4,1,-3,1
9630487,6,6,4,-10,-6,-4,-6,-4
9630487,-14,-1,-3,-4,0,-2,-4,-5
9631486,13,-7,-9,-9,-4,-1,-5,2
9631486,-9,3,11,-2,-1,-1,9,-3
9646496,2,10,-10,4,2,2,-3,3
9646496,-11,-11,-5,2,1,-2,-16,-2
9652488,13,5,7,4,-1,-2,-10,7
9652488,32,10,8,-1,-1,1,-2,0
9667787,-47,-12,-7,-1,-1,-2,-4,-3
9667787,4,-7,18,1,1,1,-8,4
9674775,15,-6,-28,-5,-2,-2,0,7
9674775,-11,6,4,-2,-4,-5,-17,-2
9689775,17,-9,5,-2,-2,-4,1,-2
9689775,6,-2,-8,-5,2,-1,-8,-15
9698490,-24,-8,3,1,-1,0,-5,5
9698490,-22,-13,-8,1,-1,0,13,-6
9706997,23,3,-4,-1,-1,0,-7,-7
9706997,-7,7,2,-5,-3,-2,-24,1
9713499,2,-5,3,1,-1,2,58,3
9713499,7,4,3,5,0,-1,8,0
