,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
2065,5,-1,9,-3,-1,-1,-6,0
2066,2,-3,-2,-3,-4,-3,-3,-3
2067,7,-6,0,-4,-2,-2,-3,-1
2068,-28,6,4,1,-1,0,1,-2
2069,5,-5,8,0,-2,-1,-5,-1
2070,-4,-1,-27,-3,0,-1,3,0
2071,12,-2,-14,-2,-2,1,-1,6
2072,5,9,23,0,-3,-2,-4,-3
2073,-6,2,2,-1,0,-2,0,0
2074,14,4,-1,-5,-6,-4,1,-2
2075,-29,-14,-3,1,2,-4,-16,2
2076,-10,1,-9,-4,-2,0,-4,-2
2077,3,-6,-9,0,-1,2,-3,7
2078,26,11,1,1,-1,-2,19,-6
2079,-15,5,10,0,-1,-2,-24,-3
2080,16,-13,-27,-1,3,2,58,6
2081,-7,6,-2,0,-2,-1,-1,0
2082,2,-3,-9,-6,-5,-1,-9,-4
2083,21,3,10,3,-1,0,-15,-5
2084,4,-1,-3,-4,-4,-7,-13,-6
2085,-11,-5,-12,-2,0,1,-1,-1
2086,-17,-6,-2,1,0,-1,2,4
2087,2,-8,6,-7,-2,1,12,-3
2088,-10,5,-4,2,1,-3,-12,-1
2089,3,9,-2,-4,-3,-3,4,0
2090,-15,-12,-2,-1,0,1,-11,-2
2091,-5,-7,1,28,15,2,0,-6
2092,14,-9,-15,-35,-11,-1,-1,1
2093,-19,10,6,2,-10,-5,1,-5
2094,-13,3,0,3,6,-1,-7,1
2095,12,-5,-13,-11,-9,-1,10,-2
2096,-2,-2,18,2,4,2,19,4
2097,16,-4,-27,-13,-10,-2,-5,-5
2098,-10,-4,-4,3,0,-1,-9,-4
2099,12,7,-3,-3,4,-2,-16,1
2100,-18,0,1,25,3,2,-10,-7
2101,27,-8,-2,-37,-8,2,4,14
2102,-13,-1,0,3,-6,-6,-7,6
2103,-7,5,-11,2,0,0,-6,-5
2104,-8,-5,10,11,1,0,-13,-12
2105,-11,-6,14,15,8,0,-2,-4
2106,5,7,1,-2,0,-1,2,3
2107,47,-5,-4,-29,-5,-1,-10,2
2108,-39,-2,-11,3,-9,-5,-4,-9
2109,-6,-12,6,10,5,-1,-4,-5
2110,2,0,-4,-11,-1,1,17,12
2111,21,11,20,11,-2,-3,19,7
2112,1,-1,-16,-5,-2,-1,-14,-11
2113,13,2,-5,2,0,-3,-8,-1
2114,-3,-19,1,1,-6,-2,-26,-7
2115,-18,3,-15,-3,-2,-1,24,-6
2116,15,8,3,4,6,2,-8,11
2117,-11,-10,-8,-12,-10,-3,3,1
2118,11,10,2,-2,-1,-3,-18,-1
2119,-12,-19,-5,-4,-7,-4,-6,-2
2120,13,4,1,-5,2,-3,-2,1
2121,0,5,-6,10,3,0,-3,-5
2122,-8,-8,0,-1,-2,-2,8,-5
2123,-8,-11,-3,3,1,0,2,1
2124,8,-2,-1,-26,-5,-1,2,-2
2125,13,5,0,10,-1,0,1,1
2126,-21,20,18,5,2,1,12,0
2127,-3,3,-2,-1,-3,-3,-8,0
2128,-25,-5,2,1,1,-4,-4,6
2129,-12,-8,-7,2,2,0,1,-13
2130,19,-3,-12,-8,-7,-4,3,-3
2131,-7,-7,10,5,0,-2,2,0
2132,9,-1,-20,3,0,-3,-1,1
2133,0,-14,5,-2,3,0,2,3
2134,-13,-13,-7,5,-4,-2,1,-9
2135,-7,7,7,-5,-3,-1,-10,2
2136,10,11,0,-3,-7,-3,-3,5
2137,0,-1,6,-2,3,-1,-6,-3
2138,1,11,-7,3,4,4,23,3
2139,-23,-26,-6,-10,-6,-4,-7,0
2140,14,0,8,2,-2,-2,0,-3
2141,-6,3,-5,17,5,-1,-1,1
2142,-11,-7,1,-21,-11,-4,-19,-9
2143,9,13,-4,2,0,1,-3,0
2144,-12,-9,3,5,5,0,-3,-1
2145,9,9,5,-4,-5,-1,-7,-1
2146,34,-4,-5,-5,1,1,4,7
2147,-33,0,4,8,0,-3,-8,-6
