,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1785,-12,-10,-1,-1,-1,-1,3,-8
1786,5,11,-3,-2,-2,-4,-9,9
1787,-9,-11,-9,-7,-4,-2,-2,-16
1788,-16,10,6,2,0,2,-3,-63
1789,2,-25,-26,1,3,3,0,63
1790,15,12,5,-2,-5,1,9,10
1791,-13,-4,-9,-4,-2,-3,-8,-7
1792,0,0,0,-1,0,-2,-4,14
1793,5,3,5,1,-1,-1,-4,-30
1794,-3,9,13,-1,-4,-2,3,-15
1795,0,-11,-19,-5,-3,-3,-20,20
1796,-2,8,-1,-2,-1,-1,6,0
1797,-4,-8,4,-2,-2,-1,0,-1
1798,3,-4,-22,0,0,1,5,1
1799,-11,4,6,-3,-3,-2,-5,-13
1800,10,-10,-7,0,1,-1,5,14
1801,8,8,6,4,1,3,-1,-4
1802,-2,8,0,-1,-2,-4,-9,-1
1803,-4,-13,0,-1,-1,0,2,-17
1804,8,-12,-5,-2,-1,-4,0,20
1805,-2,1,5,1,-1,-3,-12,9
1806,-7,3,3,1,2,6,18,-7
1807,5,4,0,-4,-4,-4,-6,-5
1808,7,0,3,2,0,-1,-3,35
1809,-3,4,3,0,0,-2,21,-12
1810,-4,-8,-3,-4,-2,-2,-5,-3
1811,-2,4,1,-1,0,0,0,-2
1812,3,-7,-2,-1,-4,-3,-12,-4
1813,-6,-2,-3,-2,-4,-3,-7,-10
1814,0,4,9,3,1,-2,-2,1
1815,-10,-6,-1,-1,-1,-1,1,2
1816,1,4,-3,-3,0,-2,3,-10
1817,-3,7,2,-1,-1,0,1,3
1818,-4,-27,-3,-5,-2,-3,1,3
1819,-8,1,2,-2,-1,-1,-7,-5
1820,4,12,7,3,1,1,8,-10
1821,5,-8,8,-4,-3,-2,-13,3
1822,6,7,-2,-1,-1,-2,-6,-19
1823,-3,17,0,1,2,1,-5,7
1824,-17,-27,-6,-3,-2,0,44,6
1825,4,3,-8,-5,-2,-1,-9,-4
1826,-2,-5,-8,-4,-2,-5,-7,-5
1827,-15,-5,6,0,-2,-2,-5,-8
1828,19,13,-1,0,2,0,-11,-6
1829,-6,-2,-3,-1,-1,-2,-1,-7
1830,3,2,12,1,-2,-1,2,2
1831,3,0,-4,-3,-2,-1,2,17
1832,-10,1,-6,-2,-2,-1,-11,3
1833,-2,-17,-7,-1,-3,-2,5,4
1834,1,8,-1,0,-2,-3,-12,-17
1835,-5,-7,-1,2,-2,-1,0,-16
1836,-8,-7,4,-5,-2,-2,-1,-4
1837,12,6,5,-1,-2,-2,9,-9
1838,-9,6,3,2,0,0,7,8
1839,0,-10,-6,-3,-3,-3,-2,-4
1840,5,-15,1,-3,0,0,-6,2
1841,-13,1,4,-2,-3,-4,-4,-11
1842,3,3,-5,-1,0,-1,-7,3
1843,11,-1,-2,-2,0,2,6,0
1844,1,-2,-3,2,-2,-5,-8,-5
1845,-1,7,-3,-3,-4,-1,-5,-2
1846,-2,-2,-6,0,-1,-2,0,6
1847,4,-7,-2,-4,-1,-2,-12,-5
1848,2,10,1,-2,-2,-2,8,1
1849,2,-5,-5,0,1,0,-2,-5
1850,-15,1,-5,-1,0,1,-3,-1
1851,-12,-5,0,1,0,-1,-3,-4
1852,6,1,-2,-2,-3,-2,-7,18
1853,35,7,0,0,-1,-1,0,-7
1854,-20,-5,-3,0,-1,-2,-4,12
1855,-1,-13,-1,0,0,-1,3,0
1856,-3,7,18,2,0,1,-3,2
1857,-8,6,-21,-3,-1,-5,-1,5
1858,11,-11,-7,-2,0,0,3,-1
1859,9,10,3,0,-1,-1,16,8
1860,-21,-4,-7,1,-3,-2,-5,-3
1861,-13,11,13,1,-2,0,1,-4
1862,17,-9,2,0,-1,-1,-2,-1
1863,1,2,-2,-1,-1,-2,0,-11
1864,0,-1,-7,-3,0,-2,-1,-6
1865,-5,4,1,-1,0,-1,-11,5
1866,0,-13,-3,-4,-3,-2,1,2
1867,-19,0,-1,0,-1,-1,-2,-3
1868,8,-1,-9,-2,-1,-1,-2,-3
1869,-11,-10,1,0,1,0,0,4
1870,-6,5,5,1,-1,-1,-12,-16
1871,11,1,0,0,-2,-1,15,19
1872,6,12,3,3,1,-1,-2,-1
1873,-8,-16,-9,-3,-1,2,-6,-2
1874,-5,-15,-13,-4,-2,0,-2,-2
1875,12,11,8,0,0,-1,-7,-7
