,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
305,-1,-6,-2,1,-1,0,-4,-3
306,-8,-3,-6,0,1,-1,-6,-2
307,-6,-4,2,-3,-3,0,-2,1
308,-1,-5,-5,-2,-2,0,2,0
309,-2,4,2,-1,-3,-2,-4,-5
310,1,-3,-9,-4,-1,-2,-10,2
311,-3,-5,5,1,0,-1,-7,-16
312,-2,-6,0,-3,-2,-1,-10,4
313,12,6,-1,1,1,2,3,6
314,-15,-6,-5,-2,-5,-2,5,-1
315,3,-3,-1,-3,-2,-3,-9,3
316,-22,-4,-7,-2,-3,-1,-5,-7
317,-5,16,3,-1,-2,-2,-17,-1
318,1,-11,-2,-2,-1,-2,-3,-5
319,2,0,1,0,0,0,41,0
320,4,4,2,2,0,3,-14,-1
321,-2,-4,-1,-4,-1,-1,16,-1
322,2,1,-3,0,0,0,-10,-3
323,-7,0,6,-3,-2,-1,-14,0
324,7,1,-2,-2,0,-3,7,-5
325,0,-3,-4,-2,0,-2,2,0
326,-2,2,9,-1,-1,-1,-10,-3
327,7,-2,-2,-1,-4,-3,-5,3
328,-2,-1,-4,-2,-2,-3,6,1
329,-6,-4,0,-1,-1,-1,-12,-13
330,0,-4,-5,2,0,-3,-7,5
331,-2,9,17,0,0,1,18,-4
332,5,-2,-18,-3,0,-1,-15,-3
333,-8,-4,9,-2,-4,-4,12,-1
334,21,1,-33,-1,0,0,-4,6
335,-15,-15,4,0,-2,-2,4,-16
336,-1,11,3,-3,0,-2,8,10
337,-4,-8,0,-1,0,0,-23,-4
338,-6,0,4,0,1,3,22,-2
339,12,10,-10,0,1,-1,-16,2
340,0,-11,7,-1,-3,-5,-2,-5
341,-14,9,4,-2,-3,-3,5,-4
342,-6,2,1,-3,-3,-3,-5,-4
343,-5,0,-4,1,-3,-1,-17,-3
344,-6,-11,-6,-6,-3,-1,13,2
345,6,-2,-3,0,-1,-1,-13,2
346,2,-1,8,-1,0,1,14,-18
347,-20,-6,-16,-3,-2,-5,-24,14
348,8,0,4,3,2,3,9,10
349,3,-5,-3,1,1,0,13,-6
350,3,9,12,-1,-4,-4,-13,-6
351,3,7,-29,-4,-3,-3,-6,-5
352,-7,-30,6,0,-2,-2,-5,0
353,5,-8,1,3,0,1,-3,-2
354,-6,-3,-4,-2,-2,-2,-1,4
355,3,-6,14,-2,0,1,-8,-2
356,-4,14,-2,0,-1,-2,-2,-1
357,-2,-5,-6,-8,-4,-2,4,-8
358,7,6,1,1,1,-1,-13,6
359,4,7,-1,-3,-2,-1,0,1
360,-6,-10,-4,0,1,-1,-12,-8
361,-3,-10,-1,-3,-2,0,18,-5
362,1,-2,-3,0,0,0,-7,2
363,-1,-1,7,-2,-4,-2,-4,5
364,1,4,-3,-4,-3,-1,18,-9
365,1,5,-13,-1,1,0,-12,5
366,-3,5,13,1,-1,-2,-4,-9
367,-1,-11,2,-3,-1,0,3,1
368,0,8,8,-1,-1,0,-9,-3
369,5,-13,-26,-4,1,-1,0,3
370,6,6,13,1,-1,0,15,15
371,-1,2,-8,-3,-3,-3,-9,-9
372,11,-1,2,-4,-4,0,1,1
373,-2,-2,2,1,1,0,13,2
374,-5,10,12,-1,-3,-1,-12,-2
375,-1,-18,-22,-5,-1,0,10,-1
376,-9,-2,12,-1,-1,-5,-2,4
377,1,4,-1,0,-3,-3,-31,-7
378,-4,0,-9,1,2,1,36,7
379,12,7,4,-2,-3,-3,-1,4
380,-6,4,-5,4,1,1,-7,-3
381,-4,-3,-6,-18,-5,-4,-14,0
382,-4,-6,0,25,-2,-3,2,-2
383,-5,-1,-14,-9,1,1,2,-5
384,-1,-5,14,11,-2,-2,-20,-3
385,-5,21,-38,1,-3,-2,0,-1
386,9,-13,-25,-71,-5,-2,6,11
387,-9,-12,29,57,2,0,-2,-5
388,13,-5,-20,-16,0,-3,-12,-3
389,-5,-13,25,-2,-4,-1,4,-3
390,1,9,-27,34,-6,3,-1,-15
391,-4,8,13,-68,10,2,-8,7
392,1,-3,-63,-3,-11,-6,-4,-2
393,-10,0,17,41,3,1,20,6
394,1,-1,-9,2,-12,-1,-26,-1
395,5,5,8,-23,8,3,19,-6
396,37,-6,11,-38,-3,-8,-22,-7
397,-20,-2,-11,-5,-3,-4,-34,7
398,8,1,15,38,-1,5,33,-1
399,-11,12,-22,-49,5,-3,1,31
400,-8,-23,-17,9,-9,-6,-20,-14
401,9,5,0,17,0,0,19,-8
402,-6,7,42,94,3,1,23,8
403,-5,-7,-36,-39,-4,-1,-16,-14
404,-10,11,-10,-57,2,4,58,4
405,5,3,20,10,0,-3,-11,-3
406,-14,-16,-15,-13,-5,-4,-21,-9
407,-4,12,-10,40,-10,-5,-2,1
408,-21,-8,3,10,0,0,-9,-12
409,12,7,4,-9,1,2,8,-3
410,0,-11,6,-31,3,-4,-2,-2
411,3,6,4,24,-2,0,0,-5
412,-8,6,28,57,4,3,15,4
413,0,-16,-23,-54,-6,-2,8,-5
414,2,4,-11,-35,2,-3,-17,2
415,-10,-21,12,22,-2,0,-9,-13
416,16,28,0,27,-1,0,0,5
417,-15,3,22,-12,1,2,8,6
418,-7,-15,-19,3,-2,-4,5,-11
419,-4,-1,1,-6,-4,-2,12,0
420,-1,5,12,12,7,8,9,-8
