,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
2281,-15,5,1,1,0,2,-28,-12
2282,-1,7,4,-2,-4,-4,10,-10
2283,-37,-16,-23,2,0,1,9,18
2284,13,6,-4,-4,-2,-5,-13,-1
2285,-14,-14,11,3,1,-4,-13,6
2286,16,-3,-22,-10,-4,-1,-3,-17
2287,4,11,9,0,-2,-5,-24,0
2288,-2,-5,8,-1,5,5,36,30
2289,4,-1,-18,-5,-4,-2,-14,-13
2290,-17,-6,4,2,2,0,7,0
2291,10,0,-1,-3,-2,-2,-11,1
2292,26,11,-5,-5,-3,-3,-12,-5
2293,-3,7,8,0,1,0,1,2
2294,8,-11,4,5,2,1,9,-8
2295,-11,-8,-6,-3,-4,-6,-19,-11
2296,-2,3,-1,0,-2,-1,15,18
2297,-4,-1,-4,-2,-2,1,10,-1
2298,-4,-3,-4,-6,-4,0,35,8
2299,-4,-2,3,0,0,0,-8,-14
2300,-5,-1,-2,1,-1,-3,-6,1
2301,3,4,-2,-1,-2,2,-5,-1
2302,0,-4,-2,1,-1,-1,-7,-5
2303,-9,-4,5,3,-1,0,-1,-1
2304,2,-3,0,-4,-2,0,0,-3
2305,8,2,-6,-2,-3,-3,5,5
2306,-7,-3,1,2,2,-2,-14,-3
2307,-1,-6,-2,0,-3,-1,-1,0
2308,4,3,-7,-9,-3,-2,-3,3
2309,-2,2,7,7,9,-1,-2,-6
2310,-3,0,-6,-2,-7,-2,-10,6
2311,-4,-7,4,-6,1,0,6,-10
2312,-3,-6,-11,-9,-3,-1,-8,3
2313,-1,3,4,23,-5,-2,1,4
2314,-2,6,20,2,8,0,1,-3
2315,2,-6,-5,-4,-2,0,-5,-1
2316,-6,3,-10,-4,-6,0,-9,-5
2317,-2,-1,-12,-27,-9,-2,-3,3
2318,4,3,16,27,12,2,29,16
2319,-1,7,6,1,6,1,4,-9
2320,-28,-13,2,18,2,0,19,9
2321,-6,4,-9,-11,-6,-4,-11,-12
2322,0,-12,-13,-12,-12,-3,-10,-3
2323,0,-7,2,-5,-1,-5,-8,1
2324,19,4,-1,1,1,1,-2,-1
2325,-19,0,-2,-4,-1,0,3,1
2326,-6,0,-1,-6,-1,-2,-21,-4
2327,0,1,-1,5,-3,-1,12,2
2328,5,-3,-2,-4,-1,-1,-9,-4
2329,3,-4,-1,0,-2,-3,1,-3
2330,3,0,-1,3,2,-1,-11,-4
2331,-2,0,0,-3,-1,2,-1,4
2332,-1,0,-2,1,-2,-3,2,-2
2333,2,-5,1,-2,1,0,-3,-1
2334,-3,5,-6,-8,-4,-1,2,2
2335,2,-4,-3,-3,-4,-5,-6,-2
2336,-3,3,9,-1,1,0,4,2
2337,-1,-12,-8,4,0,0,-6,-4
2338,-6,1,-6,-6,-6,-2,-4,3
2339,-5,-9,-3,-6,-1,-1,4,0
2340,6,5,1,2,-1,-4,-12,-9
2341,6,12,-6,-3,1,-2,-5,7
2342,-9,-4,6,3,3,2,26,0
2343,-5,-4,-5,-10,-6,-4,-3,-6
2344,3,-4,-3,1,-2,0,-14,0
2345,-1,3,2,-5,-4,-3,1,2
2346,5,0,-7,-5,1,1,-6,-1
2347,-2,3,1,5,2,2,-2,2
2348,-3,-1,-2,-2,-1,0,2,-4
2349,-3,-14,1,-5,-3,-1,-5,-6
2350,1,3,1,3,2,1,-7,-1
2351,0,-1,-1,0,-2,-5,-12,0
2352,-2,2,-3,-2,-1,-1,23,2
2353,5,-1,0,3,1,1,1,-1
2354,-1,-9,-1,-2,-3,-2,-1,1
2355,0,7,-5,2,-2,0,-1,1
2356,-7,-5,2,-4,-1,-3,-6,-2
2357,9,3,4,2,0,1,0,1
2358,-3,9,-1,-8,0,-2,3,-4
2359,-10,-7,-7,4,-1,-1,-7,0
2360,8,4,7,-3,-5,-3,-13,1
2361,6,-9,-7,-1,-2,-3,7,2
2362,2,1,-4,-1,-3,-1,-25,-2
2363,-3,7,-2,-6,-2,2,7,2
2364,-6,-7,-1,3,2,2,26,0
2365,-1,-6,2,-3,-1,-2,10,8
2366,-18,-17,-3,-2,-5,-6,-31,-14
2367,18,9,-1,1,1,1,37,-3
2368,-3,9,0,1,2,0,-10,-3
2369,-7,2,0,-4,-2,-3,-2,-5
2370,-4,-20,-5,-2,-2,-4,5,0
2371,-4,-5,-1,-1,-2,-1,-11,1
2372,13,5,-3,-3,-2,-2,-1,-2
2373,7,-3,-1,2,2,0,0,-3
2374,0,-1,-2,2,-1,-1,6,0
2375,-1,0,0,5,-3,-1,-7,-2
2376,-5,-11,-3,-10,-1,-1,8,-4
2377,-11,11,6,3,0,-1,-17,-2
2378,6,-4,-10,-3,-2,-2,17,3
2379,0,-3,2,2,-1,-3,-14,-2
2380,-1,3,-4,0,-1,-2,-17,-3
2381,-8,-4,-4,-3,-3,2,49,0
2382,3,5,1,1,-2,-1,-12,6
2383,3,4,0,-6,-2,-1,0,6
2384,-23,-12,-3,-4,-5,-2,-6,-1
2385,-2,-14,-3,-2,-2,-3,-24,-9
2386,-5,6,1,2,2,1,23,-2
2387,-5,-4,-3,-5,-4,-2,-3,-3
2388,4,-4,-3,0,-2,-1,-7,-1
2389,0,2,-4,-2,-2,-2,-12,0
2390,-3,-3,1,-5,-2,-1,-1,-2
2391,5,1,-3,1,1,-2,-7,-3
2392,-3,1,5,2,0,-1,2,-2
2393,0,1,-1,-1,0,0,2,-2
2394,-1,-2,-1,-3,-2,-1,6,-3
2395,8,-3,1,2,-3,-4,-23,0
2396,-14,-8,-7,-10,-4,-3,30,-9
2397,8,10,5,4,-1,1,3,1
2398,3,4,-1,-2,-2,-4,-1,-1
2399,-15,-11,-2,2,0,-1,-13,-3
2400,15,0,1,-3,-1,-1,2,0
2401,-6,5,-3,-4,-4,-3,-12,-6
2402,-10,-6,0,0,1,2,15,7
2403,-3,-8,-4,-5,-4,-3,-8,-3
2404,4,-6,1,5,0,-2,-9,0
2405,-2,5,-3,1,-1,0,8,-3
2406,11,4,2,-5,-1,0,-11,0
2407,-5,-3,0,4,0,-1,2,-4
2408,-4,0,7,1,-1,2,-8,1
2409,1,-4,-21,-1,0,0,4,-2
2410,-3,-1,-7,-3,-2,-1,-10,-6
2411,-8,1,6,-4,0,1,17,9
