,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
973,0,0,-18,-3,1,0,-1,-1
974,-4,0,4,4,0,-1,-3,-2
975,-14,-3,-6,-4,-3,-3,29,-1
976,0,-2,12,-1,-3,-3,-15,-5
977,17,-1,-22,-3,0,1,16,-2
978,-1,6,7,4,1,-2,-4,-1
979,-1,-3,0,-5,-4,-1,-17,3
980,1,-13,0,2,0,0,-10,-4
981,-11,0,-10,-7,-4,-3,21,2
982,4,11,8,1,-2,-2,-3,3
983,-5,-7,-10,2,-1,-1,-12,-6
984,2,-2,23,-7,6,1,3,3
985,-7,17,-7,-1,-3,-2,-20,-9
986,13,-23,-6,-6,-3,0,28,8
987,-20,0,-5,6,0,-2,-7,-11
988,3,7,-4,0,-5,-1,2,-1
989,1,-8,18,-2,-8,-5,-16,2
990,-10,13,-8,-13,10,1,0,-11
991,16,-3,0,-2,-2,0,-10,0
992,-5,-12,-4,1,1,1,13,3
993,-5,-2,-12,-5,-4,-4,-8,-4
994,-1,11,7,2,-6,-1,-15,-1
995,0,-15,6,-3,1,-2,2,1
996,1,16,-4,-2,-1,-1,6,-3
997,-5,-5,2,1,1,0,6,7
998,-5,-11,5,3,0,-1,-2,-3
999,-4,3,-14,-4,0,0,0,2
1000,2,-2,4,-1,-2,0,-5,-1
1001,2,-3,-10,-1,-1,-2,-4,-1
1002,-8,-1,2,3,1,1,3,0
1003,-1,7,4,-2,1,3,0,1
1004,4,-6,-9,-3,-5,-5,-12,-9
1005,6,4,-1,3,1,1,3,6
1006,-13,-4,-1,0,4,0,2,-7
1007,26,16,7,3,-5,-2,6,-1
1008,14,-9,-3,-3,-1,0,2,4
1009,-17,-10,8,2,-4,-2,-6,-4
1010,0,1,-51,-18,-5,-1,-6,3
1011,-9,-14,24,21,8,-2,0,-4
1012,-5,15,-7,-5,0,-1,-19,-2
1013,12,-12,-1,-1,-2,1,15,0
1014,-6,1,1,-3,-2,-2,-8,2
1015,-8,2,-8,-6,-3,0,8,1
1016,-2,0,-5,1,-1,-2,-5,-1
1017,-5,-2,-5,-5,2,0,-3,0
1018,5,5,9,3,-1,-2,-6,-2
1019,-2,-5,-12,-8,-5,-3,-3,1
1020,6,-1,4,5,0,-2,-4,-3
1021,-16,4,0,-4,0,-2,-3,-5
1022,7,-7,6,6,-1,-1,-21,2
1023,0,2,11,0,1,5,41,1
1024,-2,-3,-5,-5,-6,-1,2,0
1025,-3,8,6,0,0,-1,-4,-4
1026,1,8,-1,-1,-3,-4,-14,-5
1027,-19,-24,-7,-4,-2,-3,-19,0
1028,0,-1,-1,-1,-2,-2,7,1
1029,-10,-6,-5,-2,0,3,-6,0
1030,0,7,22,2,-4,-3,8,-6
1031,4,8,-7,-6,-1,-4,-8,1
1032,-3,2,2,2,0,-2,-7,-1
1033,-8,1,-1,-2,-1,-1,-1,-1
1034,7,-16,-11,2,0,1,18,4
1035,-17,4,-6,-4,-3,-2,-15,-7
1036,-2,-16,0,-3,-2,-2,-4,-4
1037,35,5,-2,1,0,-3,-9,4
1038,-44,-9,12,-1,-4,1,8,-1
1039,5,1,-9,-4,-1,-2,0,-4
1040,-9,9,5,2,0,-5,-5,-2
1041,0,-10,-5,-2,-2,-1,-9,-1
1042,15,-1,9,2,1,2,31,8
1043,13,3,-10,-3,-2,1,-10,0
1044,-5,0,5,0,0,2,-9,-4
1045,-2,1,-3,-1,-2,-3,8,-1
1046,-2,-3,-8,-3,-4,-5,-14,-2
1047,-6,14,10,4,-3,-2,1,3
1048,-7,-18,13,-5,9,-2,-11,-4
1049,-2,1,-21,-7,-4,0,26,-2
1050,9,-2,-2,1,-2,-2,-17,-10
1051,1,-10,12,1,-1,0,1,0
1052,-1,2,-30,-9,-6,-2,4,-7
1053,-1,5,20,4,0,-1,-10,1
1054,-6,-5,-14,0,-1,-1,-3,-8
1055,5,3,-3,-6,-3,-1,-17,-3
1056,1,-1,-1,1,1,3,49,10
1057,-6,-5,3,-2,-2,-1,-4,-3
1058,7,6,3,0,-2,0,4,-10
1059,1,-11,-3,0,2,-1,-9,0
