,gyro_x,gyro_y,gyro_z,orin_x,orin_y,orin_z,orin_w,roll,pitch,yaw,acc_x,acc_y,acc_z,Key
2044,0.125,5.5,1.6875,0.306824,-0.0195923,0.217773,-0.9263309999999999,-0.618388,-0.0974926,-0.43065299999999995,0.08691410000000001,-0.5795899999999999,0.824707,Forward
2048,-1.625,5.9375,1.5625,0.30688499999999996,-0.020752,0.217773,-0.92627,-0.618961,-0.09536339999999999,-0.43132,0.0952148,-0.592773,0.8286129999999999,Forward
2052,-1.0625,6.0,2.0625,0.306946,-0.0219727,0.217712,-0.92627,-0.619591,-0.093081,-0.431924,0.0883789,-0.5952149999999999,0.81543,Forward
2056,2.375,6.0,1.9375,0.306213,-0.023132299999999998,0.217712,-0.9264530000000001,-0.618524,-0.0905948,-0.432659,0.07470700000000001,-0.5825199999999999,0.8261719999999999,Forward
2060,1.1875,5.125,1.9375,0.305786,-0.0239868,0.217651,-0.926575,-0.6179819999999999,-0.08877489999999999,-0.43307399999999996,0.0913086,-0.586426,0.825684,Forward
2064,0.25,5.6875,3.3125,0.305542,-0.0249634,0.217468,-0.9266969999999999,-0.617895,-0.08673310000000001,-0.43331899999999995,0.102051,-0.591309,0.8334959999999999,Forward
2068,-1.75,5.6875,5.1875,0.305542,-0.026062000000000002,0.21698,-0.926758,-0.6183609999999999,-0.08438680000000001,-0.43299899999999997,0.0976563,-0.5878909999999999,0.8374020000000001,Forward
2072,-4.5625,6.9375,5.75,0.305908,-0.0275269,0.21643099999999998,-0.926758,-0.619762,-0.0814845,-0.432771,0.0942383,-0.580566,0.831543,Forward
2076,-5.4375,7.25,4.8125,0.30633499999999997,-0.029052699999999997,0.21606399999999998,-0.926636,-0.621275,-0.0786147,-0.432917,0.0864258,-0.5795899999999999,0.828125,Forward
2080,-9.0,6.8125,4.5,0.307312,-0.030761700000000003,0.215637,-0.9263309999999999,-0.6239979999999999,-0.0756168,-0.433015,0.07324220000000001,-0.577148,0.8261719999999999,Forward
2084,-11.75,3.5625,4.5,0.309082,-0.0321655,0.215027,-0.925842,-0.628263,-0.07342739999999999,-0.432537,0.062011699999999996,-0.591309,0.807129,Forward
2088,-9.3125,2.0625,3.0625,0.310913,-0.03302,0.21453899999999998,-0.9253540000000001,-0.632443,-0.07235839999999999,-0.43198500000000006,0.0795898,-0.627441,0.7954100000000001,Forward
2092,3.3125,7.0625,7.5,0.310425,-0.034729,0.213623,-0.925659,-0.632185,-0.0683866,-0.431266,0.055664099999999994,-0.639648,0.8168949999999999,Forward
2096,3.0,10.1875,4.8125,0.309692,-0.036499000000000004,0.21344000000000002,-0.925842,-0.631392,-0.0646618,-0.43201999999999996,0.0727539,-0.616211,0.814941,Forward
2100,4.0625,7.4375,2.875,0.308289,-0.0375977,0.21344000000000002,-0.9263309999999999,-0.628983,-0.0619862,-0.43280100000000005,0.0595703,-0.529297,0.797852,Forward
2104,-8.0625,0.8125,-0.3125,0.30956999999999996,-0.0377808,0.213562,-0.925842,-0.631682,-0.0623072,-0.43306300000000003,0.07910160000000001,-0.552246,0.752441,Forward
2108,0.5,-6.375,-5.3125,0.309631,-0.0360718,0.21417199999999997,-0.9257200000000001,-0.631053,-0.0658919,-0.433199,0.0898438,-0.5507810000000001,0.782227,Forward
2112,11.9375,-11.5625,-7.9375,0.308044,-0.0325928,0.21514899999999998,-0.9261469999999999,-0.6262909999999999,-0.0722423,-0.433109,0.129883,-0.546387,0.795898,Forward
2116,14.9375,-11.375,-8.0625,0.305847,-0.0289307,0.216187,-0.926758,-0.620203,-0.07869780000000001,-0.433116,0.146484,-0.539551,0.817871,Forward
2120,4.8125,-7.8125,-6.6875,0.304871,-0.0266724,0.21704099999999998,-0.926941,-0.617214,-0.0829867,-0.43353100000000006,0.11084000000000001,-0.525879,0.832031,Forward
2124,-10.75,-5.9375,-3.8125,0.306824,-0.0259399,0.21728499999999998,-0.92627,-0.620934,-0.08538539999999999,-0.43341999999999997,0.0854492,-0.5922850000000001,0.8227540000000001,Forward
2128,-11.5625,-6.4375,-2.3125,0.30932600000000005,-0.025573699999999998,0.21716300000000002,-0.9254760000000001,-0.625962,-0.08712289999999999,-0.432751,0.0664063,-0.630371,0.8085939999999999,Forward
2132,-2.75,-6.8125,-3.3125,0.310303,-0.0249023,0.217102,-0.925171,-0.627711,-0.08877339999999999,-0.43214300000000005,0.05273440000000001,-0.618164,0.799805,Forward
2136,1.625,-8.0625,-6.0625,0.31048600000000004,-0.023498500000000002,0.21759,-0.925049,-0.627502,-0.0917716,-0.432253,0.0717773,-0.612305,0.820313,Forward
2140,6.75,-7.5,-5.875,0.309875,-0.021667500000000003,0.21814,-0.925171,-0.625472,-0.09524400000000001,-0.432299,0.10351600000000001,-0.616699,0.8276370000000001,Forward
