,gyro_x,gyro_y,gyro_z,orin_x,orin_y,orin_z,orin_w,roll,pitch,yaw,acc_x,acc_y,acc_z,Key
2332,1.25,-0.5,-0.3125,0.299561,0.18249500000000002,-0.389099,-0.851807,-0.7133,-0.07786230000000001,0.886009,0.0698242,-0.659668,0.754883,Left
2336,-0.0625,-1.3125,0.25,0.299377,0.182678,-0.389221,-0.851807,-0.713149,-0.0782448,0.8864200000000001,0.08154299999999999,-0.651367,0.762207,Left
2340,-0.625,-0.375,0.5,0.299377,0.182678,-0.389221,-0.851807,-0.713149,-0.0782448,0.8864200000000001,0.08251950000000001,-0.659668,0.772949,Left
2344,-0.9375,1.0625,1.5,0.299683,0.18243399999999999,-0.389343,-0.851685,-0.713501,-0.0774712,0.8864790000000001,0.07617189999999999,-0.680664,0.7768550000000001,Left
2348,2.1875,2.125,3.5,0.299622,0.182007,-0.389771,-0.8516239999999999,-0.713007,-0.07650989999999999,0.887009,0.09277339999999999,-0.6679689999999999,0.7612300000000001,Left
2352,1.0,4.4375,3.375,0.29998800000000003,0.181213,-0.390015,-0.8515010000000001,-0.712933,-0.074677,0.886843,0.0805664,-0.682617,0.770508,Left
2356,1.125,4.875,2.0,0.299927,0.18023699999999998,-0.390137,-0.851685,-0.711882,-0.07304989999999999,0.886279,0.0805664,-0.625,0.756836,Left
2360,1.1875,6.4375,5.6875,0.300171,0.178894,-0.39068600000000003,-0.851685,-0.711112,-0.0702352,0.8863340000000001,0.08251950000000001,-0.680664,0.8188479999999999,Left
2364,-1.5625,3.8125,1.0,0.300598,0.177734,-0.390808,-0.851685,-0.710804,-0.06784689999999999,0.885627,0.0175781,-0.606445,0.749512,Left
2368,-3.6875,-0.0625,-2.5,0.30090300000000003,0.178162,-0.39032,-0.8517459999999999,-0.711787,-0.06865360000000001,0.885006,0.0766602,-0.631836,0.749023,Left
2372,1.375,-2.0,-3.0625,0.300354,0.17877200000000001,-0.389893,-0.8519899999999999,-0.711287,-0.0704705,0.8845940000000001,0.09814450000000001,-0.648438,0.750488,Left
2376,2.3125,-3.0625,-2.875,0.2995,0.179321,-0.389648,-0.852295,-0.7101649999999999,-0.0723333,0.8845049999999999,0.0864258,-0.633301,0.750977,Left
2380,-1.6875,-5.125,-1.0,0.299377,0.18023699999999998,-0.389709,-0.8521120000000001,-0.7108180000000001,-0.0738906,0.885386,0.07226560000000001,-0.648926,0.754883,Left
2384,-5.0,-7.5625,2.4375,0.29986599999999997,0.18158,-0.39032,-0.851318,-0.713071,-0.0751477,0.887769,0.0698242,-0.673828,0.753418,Left
2388,-3.125,-4.875,0.75,0.300232,0.182617,-0.39056399999999997,-0.850891,-0.714815,-0.07632919999999999,0.889184,0.07910160000000001,-0.6875,0.760742,Left
2392,-1.3125,-3.75,1.25,0.300232,0.183105,-0.39093,-0.8505860000000001,-0.715302,-0.07683,0.890337,0.0708008,-0.669434,0.7719729999999999,Left
2396,-0.9375,-0.4375,0.625,0.300171,0.183105,-0.39093,-0.8506469999999999,-0.7152029999999999,-0.0769003,0.8903530000000001,0.0859375,-0.664551,0.790039,Left
2400,-2.8125,2.75,1.125,0.30072,0.182556,-0.390991,-0.850525,-0.715717,-0.0754507,0.8900379999999999,0.0610352,-0.6704100000000001,0.7954100000000001,Left
2404,-3.5,1.125,0.5,0.30127,0.182312,-0.390991,-0.850403,-0.716541,-0.0745589,0.8898719999999999,0.06054690000000001,-0.658203,0.782227,Left
2408,-1.6875,-0.9375,-0.125,0.30127,0.182678,-0.39093,-0.850342,-0.716889,-0.075198,0.89005,0.08935549999999999,-0.664551,0.773438,Left
