,gyro_x,gyro_y,gyro_z,orin_x,orin_y,orin_z,orin_w,roll,pitch,yaw,acc_x,acc_y,acc_z,Key
648,-0.4375,-0.4375,-0.4375,0.292419,0.205688,-0.44751,-0.8197629999999999,-0.7280409999999999,-0.07558250000000001,1.02827,0.07373049999999999,-0.6660159999999999,0.760742,Right
652,-0.625,-0.5625,0.125,0.292419,0.205627,-0.44751,-0.8197629999999999,-0.727966,-0.0754822,1.0282,0.07470700000000001,-0.672363,0.763184,Right
656,-0.875,-0.8125,-0.9375,0.292419,0.205627,-0.44751,-0.8197629999999999,-0.727966,-0.0754822,1.0282,0.07617189999999999,-0.668457,0.753418,Right
660,0.375,-0.75,-1.5,0.292053,0.20575,-0.44732700000000003,-0.819946,-0.727404,-0.0761944,1.0279,0.0820313,-0.664063,0.766602,Right
664,0.625,-1.375,-1.8125,0.291687,0.205933,-0.447205,-0.8201290000000001,-0.726934,-0.0769712,1.0278,0.08007810000000001,-0.655762,0.7543949999999999,Right
668,-1.0,-4.125,-4.5,0.291504,0.20697,-0.446716,-0.82019,-0.727709,-0.0791535,1.02767,0.07910160000000001,-0.674805,0.729004,Right
672,1.0,-5.25,-5.625,0.290894,0.208069,-0.44610600000000006,-0.820435,-0.727744,-0.0819668,1.02731,0.0898438,-0.673828,0.7299800000000001,Right
676,5.5,-6.625,-3.5,0.28949,0.208679,-0.44622799999999996,-0.8207399999999999,-0.725849,-0.0842855,1.02806,0.07373049999999999,-0.658691,0.743164,Right
680,3.1875,-3.6875,-2.75,0.288574,0.20904499999999998,-0.44610600000000006,-0.820984,-0.724532,-0.085882,1.02806,0.08691410000000001,-0.6601560000000001,0.7592770000000001,Right
684,-0.8125,-0.875,-2.0,0.28833000000000003,0.20916700000000002,-0.44592299999999996,-0.821167,-0.7242149999999999,-0.0864847,1.02778,0.08691410000000001,-0.6518550000000001,0.7670899999999999,Right
688,-3.75,2.375,0.5,0.288574,0.208984,-0.44573999999999997,-0.8212280000000001,-0.724448,-0.086096,1.02724,0.09960939999999999,-0.639648,0.789551,Right
692,-4.5625,3.5625,3.6875,0.289551,0.20861799999999997,-0.44592299999999996,-0.8208620000000001,-0.725854,-0.08435880000000001,1.02734,0.09033200000000001,-0.6777340000000001,0.776367,Right
696,-3.0,2.25,3.0625,0.290161,0.20813,-0.44622799999999996,-0.8206180000000001,-0.726468,-0.0827284,1.02759,0.0727539,-0.6757810000000001,0.783691,Right
700,-2.125,2.8125,4.3125,0.290527,0.20751999999999998,-0.446716,-0.8203739999999999,-0.7265010000000001,-0.081009,1.0281,0.0844727,-0.661133,0.7871090000000001,Right
704,-3.375,4.1875,6.4375,0.29138200000000003,0.206787,-0.44732700000000003,-0.819946,-0.7273229999999999,-0.07850349999999999,1.0288,0.0864258,-0.680664,0.788086,Right
708,-4.0625,4.8125,7.75,0.292664,0.205994,-0.44805900000000004,-0.819275,-0.728859,-0.07534099999999999,1.0297100000000001,0.0727539,-0.682129,0.760742,Right
712,-1.25,0.5625,8.375,0.293457,0.20544400000000002,-0.449219,-0.818481,-0.7297899999999999,-0.072716,1.03173,0.055664099999999994,-0.701172,0.762695,Right
716,-0.8125,2.625,6.8125,0.294373,0.204956,-0.44995100000000005,-0.817871,-0.730989,-0.0704069,1.0328899999999999,0.0703125,-0.723633,0.750488,Right
720,4.3125,0.3125,2.75,0.29370100000000005,0.204224,-0.45056199999999996,-0.817932,-0.728961,-0.06947710000000001,1.0335,0.0634766,-0.6342770000000001,0.743164,Right
724,3.25,-1.5625,0.8125,0.29284699999999997,0.204163,-0.450867,-0.8181149999999999,-0.727346,-0.0700447,1.0340799999999999,0.0834961,-0.635742,0.749512,Right
728,3.3125,-1.6875,0.0,0.291931,0.204224,-0.45105,-0.8183590000000001,-0.725747,-0.07096519999999999,1.0345,0.0898438,-0.635254,0.7460939999999999,Right
732,1.75,-0.625,0.5,0.291687,0.204285,-0.451172,-0.8183590000000001,-0.72537,-0.07121480000000001,1.0348,0.07714839999999999,-0.677246,0.7441409999999999,Right
736,1.1875,-1.0625,0.1875,0.291565,0.204407,-0.451233,-0.818298,-0.725266,-0.07146480000000001,1.03502,0.0756836,-0.669922,0.732422,Right
