,gyro_x,gyro_y,gyro_z,orin_x,orin_y,orin_z,orin_w,roll,pitch,yaw,acc_x,acc_y,acc_z,Key
2104,-0.6875,0.0625,0.3125,0.288147,0.205566,-0.46240200000000004,-0.812988,-0.721002,-0.06781849999999999,1.05989,0.0664063,-0.6674800000000001,0.767578,Right
2108,-0.75,0.0,-0.25,0.288147,0.205566,-0.46240200000000004,-0.812988,-0.721002,-0.06781849999999999,1.05989,0.06738279999999999,-0.6704100000000001,0.7768550000000001,Right
2112,0.1875,-1.3125,-1.1875,0.287964,0.20575,-0.462341,-0.813049,-0.720873,-0.068347,1.05992,0.06835939999999999,-0.6679689999999999,0.763184,Right
2116,2.0,-3.0,-2.125,0.287354,0.206238,-0.46221899999999994,-0.813232,-0.720309,-0.0698547,1.06008,0.078125,-0.6733399999999999,0.758301,Right
2120,3.5,-3.3125,-3.625,0.286499,0.206604,-0.461975,-0.813538,-0.719124,-0.07151030000000001,1.05982,0.0717773,-0.6704100000000001,0.757813,Right
2124,4.9375,-3.4375,-6.0625,0.285339,0.20697,-0.461487,-0.814148,-0.71739,-0.0737148,1.05905,0.0678711,-0.650879,0.7460939999999999,Right
2128,4.25,-4.0,-4.75,0.284058,0.20733600000000002,-0.461182,-0.8146359999999999,-0.71542,-0.075876,1.05864,0.07910160000000001,-0.640625,0.757813,Right
2132,0.1875,-3.5,-1.75,0.283875,0.208008,-0.461121,-0.8146359999999999,-0.715874,-0.07717719999999999,1.05913,0.0776367,-0.682129,0.760742,Right
2136,0.5,-0.4375,-1.75,0.28381300000000004,0.208191,-0.460876,-0.814697,-0.7159300000000001,-0.0776974,1.05874,0.08007810000000001,-0.690918,0.772949,Right
2140,1.1875,0.8125,-1.6875,0.283508,0.207581,-0.460815,-0.815002,-0.7146779999999999,-0.0771438,1.05806,0.05273440000000001,-0.642578,0.791992,Right
2144,-1.75,-1.375,-1.75,0.283447,0.207825,-0.460632,-0.815063,-0.714829,-0.0777289,1.05788,0.07324220000000001,-0.657227,0.778809,Right
2148,0.5625,-1.9375,-2.125,0.28302,0.20813,-0.460449,-0.815247,-0.714384,-0.07880319999999999,1.05774,0.08398439999999999,-0.653809,0.765625,Right
2152,2.125,-0.5,-0.4375,0.28234899999999996,0.20813,-0.460449,-0.815491,-0.71316,-0.07952530000000001,1.05771,0.0976563,-0.647949,0.78125,Right
2156,0.0,1.5625,2.5,0.282532,0.20776399999999998,-0.460693,-0.815369,-0.713091,-0.0785678,1.0579100000000001,0.08398439999999999,-0.663086,0.7700199999999999,Right
2160,-1.125,2.4375,2.0,0.282898,0.20733600000000002,-0.460876,-0.815247,-0.71329,-0.07737580000000001,1.05795,0.07373049999999999,-0.65918,0.7714840000000001,Right
2164,-2.0625,3.625,3.4375,0.283508,0.206787,-0.461121,-0.815063,-0.7138140000000001,-0.0756985,1.05803,0.08007810000000001,-0.655762,0.773926,Right
2168,-4.125,4.25,6.0,0.284546,0.206116,-0.46166999999999997,-0.8145140000000001,-0.714971,-0.0731009,1.05864,0.0742188,-0.663574,0.777832,Right
2172,-6.9375,4.25,6.875,0.28613299999999997,0.205688,-0.462158,-0.813782,-0.7174229999999999,-0.0703518,1.05938,0.06933589999999999,-0.672363,0.767578,Right
2176,-7.4375,3.125,6.1875,0.287598,0.205566,-0.462646,-0.813049,-0.720013,-0.068212,1.0604,0.0756836,-0.6601560000000001,0.7612300000000001,Right
2180,-2.4375,0.125,7.3125,0.288574,0.20532199999999998,-0.46362299999999995,-0.812195,-0.721581,-0.06599189999999999,1.0623200000000002,0.044433600000000004,-0.699707,0.756836,Right
2184,0.4375,1.1875,6.0625,0.28918499999999997,0.204895,-0.464417,-0.811646,-0.7222689999999999,-0.0640438,1.06369,0.06054690000000001,-0.715332,0.763672,Right
2188,4.0625,0.6875,1.6875,0.288452,0.204163,-0.464844,-0.811829,-0.720117,-0.0633621,1.0639299999999998,0.0585938,-0.626953,0.7563479999999999,Right
2192,-0.125,-0.125,1.625,0.28833000000000003,0.204163,-0.465027,-0.811768,-0.719905,-0.0633451,1.0643200000000002,0.07519529999999999,-0.6464840000000001,0.756836,Right
2196,0.875,-0.9375,-0.125,0.28833000000000003,0.204224,-0.465027,-0.811768,-0.7199800000000001,-0.0634443,1.0643799999999999,0.08007810000000001,-0.6499020000000001,0.7407229999999999,Right
2200,0.9375,-0.625,-0.1875,0.288269,0.204224,-0.465027,-0.811768,-0.719859,-0.0635012,1.06437,0.08105470000000001,-0.656738,0.746582,Right
2204,-0.0625,-0.25,-0.125,0.288269,0.204285,-0.465027,-0.811768,-0.719935,-0.0636005,1.06443,0.0698242,-0.6625979999999999,0.7597659999999999,Right
