,gyro_x,gyro_y,gyro_z,orin_x,orin_y,orin_z,orin_w,roll,pitch,yaw,acc_x,acc_y,acc_z,Key
1280,2.0,-1.375,0.5,0.298584,0.180359,-0.376343,-0.8583370000000001,-0.708458,-0.0849799,0.8579100000000001,0.09960939999999999,-0.642578,0.770508,Left
1284,0.3125,0.125,1.9375,0.298523,0.180115,-0.376648,-0.858276,-0.708132,-0.0844005,0.8583280000000001,0.0864258,-0.671387,0.795898,Left
1288,1.125,-1.4375,1.1875,0.298279,0.17999300000000001,-0.37701399999999996,-0.858215,-0.7075670000000001,-0.0841335,0.858958,0.0688477,-0.6391600000000001,0.758301,Left
1292,0.125,0.3125,-0.4375,0.298279,0.17999300000000001,-0.37701399999999996,-0.858215,-0.7075670000000001,-0.0841335,0.858958,0.08007810000000001,-0.664551,0.779297,Left
1296,1.125,0.6875,-0.875,0.298157,0.179626,-0.37695300000000004,-0.8583370000000001,-0.706969,-0.0836756,0.858507,0.0688477,-0.657227,0.777832,Left
1300,0.1875,1.9375,-0.8125,0.298157,0.17926,-0.37677,-0.8585209999999999,-0.70662,-0.0832202,0.8578389999999999,0.0795898,-0.645508,0.7719729999999999,Left
1304,0.0625,-0.875,-0.8125,0.298096,0.17926,-0.37677,-0.8585209999999999,-0.706493,-0.0832663,0.857825,0.0874023,-0.65332,0.770996,Left
1308,1.125,-1.4375,-0.375,0.297791,0.179626,-0.37677,-0.858582,-0.706266,-0.0841501,0.858126,0.101563,-0.651367,0.757813,Left
1312,2.4375,2.4375,-0.25,0.297607,0.179199,-0.376648,-0.858765,-0.705488,-0.0836911,0.8574959999999999,0.09277339999999999,-0.672363,0.780762,Left
1316,2.125,3.125,1.3125,0.29742399999999997,0.17840599999999998,-0.37677,-0.8589479999999999,-0.704397,-0.0824547,0.85708,0.0766602,-0.655762,0.7875979999999999,Left
1320,-0.125,5.3125,3.625,0.298157,0.177368,-0.377075,-0.858765,-0.704847,-0.07986489999999999,0.8568879999999999,0.07519529999999999,-0.68457,0.7797850000000001,Left
1324,-0.5625,4.6875,3.5625,0.298767,0.176453,-0.37738,-0.858643,-0.7052,-0.0775997,0.8568129999999999,0.06591799999999999,-0.651367,0.756836,Left
1328,0.3125,4.6875,0.9375,0.299011,0.175354,-0.37738,-0.858765,-0.70463,-0.07556560000000001,0.8559129999999999,0.053710900000000006,-0.652832,0.789551,Left
1332,-0.5,5.1875,4.0625,0.299377,0.174255,-0.377808,-0.8587040000000001,-0.704348,-0.0731184,0.855924,0.0644531,-0.611816,0.7436520000000001,Left
1336,-3.0625,1.5625,-0.5625,0.299622,0.174011,-0.37756300000000004,-0.8587040000000001,-0.704542,-0.0726597,0.8552,0.06738279999999999,-0.6054689999999999,0.7597659999999999,Left
1340,-2.5625,-3.375,-3.0625,0.299622,0.174805,-0.377258,-0.8587040000000001,-0.705278,-0.0742095,0.8552379999999999,0.07324220000000001,-0.632324,0.7514649999999999,Left
1344,2.1875,-5.0,-3.25,0.29895,0.175781,-0.37701399999999996,-0.858826,-0.704873,-0.0765888,0.855492,0.08935549999999999,-0.6523439999999999,0.7460939999999999,Left
1348,3.4375,-3.0625,-2.875,0.298035,0.17627,-0.37683099999999997,-0.859192,-0.703583,-0.0783614,0.855498,0.08886720000000001,-0.649414,0.7749020000000001,Left
1352,-2.125,-1.375,-0.0625,0.29834,0.176514,-0.37683099999999997,-0.859009,-0.704389,-0.07848669999999999,0.8557040000000001,0.0688477,-0.661621,0.772461,Left
1356,-5.25,0.0625,0.75,0.29943800000000004,0.176636,-0.376892,-0.858582,-0.7066319999999999,-0.0776785,0.855999,0.0561523,-0.671875,0.762695,Left
1360,-3.375,0.125,0.625,0.30004899999999995,0.176758,-0.376892,-0.8583370000000001,-0.707923,-0.0773407,0.8561340000000001,0.0717773,-0.665039,0.768555,Left
1364,-0.25,0.9375,-0.125,0.29998800000000003,0.176758,-0.376892,-0.8583370000000001,-0.707795,-0.0773869,0.8561190000000001,0.0874023,-0.6547850000000001,0.791504,Left
